Node	Cluster	Color	Origin
ITGA7	4	#00FF00FF	Disease Gene
COL12A1	4	#00FF00FF	Disease Gene
COL6A1	4	#00FF00FF	Disease Gene
COL6A2	4	#00FF00FF	Disease Gene
FHL1	4	#00FF00FF	RWR Added
LMNA	4	#00FF00FF	Disease Gene
MMP2	4	#00FF00FF	RWR Added
COL6A3	4	#00FF00FF	Disease Gene
NEB	2	#FF9900FF	RWR Added
RYR1	2	#FF9900FF	Disease Gene
SGCA	2	#FF9900FF	RWR Added
TCAP	2	#FF9900FF	Disease Gene
DYSF	2	#FF9900FF	RWR Added
TTN	2	#FF9900FF	RWR Added
TIA1	2	#FF9900FF	RWR Added
ACTA1	2	#FF9900FF	RWR Added
TPM3	2	#FF9900FF	RWR Added
BIN1	2	#FF9900FF	RWR Added
DNM2	2	#FF9900FF	Disease Gene
LAMA2	2	#FF9900FF	Disease Gene
SELENON	2	#FF9900FF	Disease Gene
POMGNT1	3	#FFCC00FF	Disease Gene
POMT2	3	#FFCC00FF	Disease Gene
POMT1	3	#FFCC00FF	Disease Gene
LARGE1	3	#FFCC00FF	Disease Gene
FKTN	3	#FFCC00FF	Disease Gene
B3GALNT2	3	#FFCC00FF	Disease Gene
MPDU1	3	#FFCC00FF	Disease Gene
GMPPB	3	#FFCC00FF	Disease Gene
ADAT3	3	#FFCC00FF	RWR Added
POMK	3	#FFCC00FF	Disease Gene
TRAPPC11	3	#FFCC00FF	Disease Gene
DAG1	3	#FFCC00FF	Disease Gene
CHKB	3	#FFCC00FF	Disease Gene
B4GAT1	3	#FFCC00FF	Disease Gene
FKRP	3	#FFCC00FF	Disease Gene
LAMB1	3	#FFCC00FF	RWR Added
POMGNT2	3	#FFCC00FF	Disease Gene
CCT2	5	#6699FFFF	RWR Added
EGLN3	5	#6699FFFF	RWR Added
ESR2	5	#6699FFFF	RWR Added
CRPPA	5	#6699FFFF	Disease Gene
GOLGA2	1	#FF0000FF	Disease Gene
MSTO1	1	#FF0000FF	Disease Gene
DPM1	1	#FF0000FF	Disease Gene
TRIP4	1	#FF0000FF	Disease Gene
OR51I2	1	#FF0000FF	RWR Added
INPP5K	1	#FF0000FF	Disease Gene
ALB	1	#FF0000FF	RWR Added
KHDC3L	1	#FF0000FF	RWR Added
DPM3	1	#FF0000FF	Disease Gene
DPM2	1	#FF0000FF	Disease Gene
RXYLT1	1	#FF0000FF	Disease Gene
TRAPPC2L	1	#FF0000FF	Disease Gene
GOSR2	1	#FF0000FF	Disease Gene
BET1	1	#FF0000FF	Disease Gene
