Node	Cluster	Color	Origin
ATP2A1	6	#CC33FFFF	RWR Added
CHRND	6	#CC33FFFF	Disease Gene
STAC3	6	#CC33FFFF	RWR Added
SCN4A	6	#CC33FFFF	Disease Gene
KLHL41	6	#CC33FFFF	RWR Added
CHRNB1	6	#CC33FFFF	Disease Gene
TPM2	6	#CC33FFFF	RWR Added
RAPSN	6	#CC33FFFF	Disease Gene
MYH7	6	#CC33FFFF	RWR Added
DES	6	#CC33FFFF	Disease Gene
LMOD3	6	#CC33FFFF	RWR Added
RYR1	6	#CC33FFFF	RWR Added
ACTA1	6	#CC33FFFF	RWR Added
FLNC	6	#CC33FFFF	RWR Added
MYH2	6	#CC33FFFF	RWR Added
NEB	6	#CC33FFFF	RWR Added
CHRNA1	6	#CC33FFFF	Disease Gene
SOST	7	#99991EFF	RWR Added
DCHS1	7	#99991EFF	RWR Added
LRP4	7	#99991EFF	Disease Gene
ECEL1	7	#99991EFF	RWR Added
MUSK	7	#99991EFF	Disease Gene
CHRNG	7	#99991EFF	Disease Gene
GJA1	7	#99991EFF	RWR Added
HSPG2	7	#99991EFF	RWR Added
LMNA	7	#99991EFF	RWR Added
MECP2	7	#99991EFF	RWR Added
COLQ	5	#6699FFFF	Disease Gene
AGRN	5	#6699FFFF	Disease Gene
TPM3	5	#6699FFFF	RWR Added
COL13A1	5	#6699FFFF	Disease Gene
CHRNE	5	#6699FFFF	Disease Gene
CHAT	5	#6699FFFF	Disease Gene
ITGA7	5	#6699FFFF	RWR Added
BIN1	5	#6699FFFF	RWR Added
SELENON	5	#6699FFFF	RWR Added
PLCE1	2	#FF9900FF	RWR Added
LAMB2	2	#FF9900FF	Disease Gene
MEGF10	2	#FF9900FF	RWR Added
SLC5A7	2	#FF9900FF	Disease Gene
CLIP3	2	#FF9900FF	RWR Added
LAMA5	2	#FF9900FF	Disease Gene
UTRN	2	#FF9900FF	RWR Added
FGFR2	2	#FF9900FF	RWR Added
VAMP1	2	#FF9900FF	Disease Gene
RPH3A	2	#FF9900FF	Disease Gene
SNAP25	2	#FF9900FF	Disease Gene
SYT2	2	#FF9900FF	Disease Gene
UNC13A	2	#FF9900FF	Disease Gene
DOK7	2	#FF9900FF	Disease Gene
DNAJC5	2	#FF9900FF	RWR Added
SLC18A3	2	#FF9900FF	Disease Gene
ALG2	4	#00FF00FF	Disease Gene
ALG14	4	#00FF00FF	Disease Gene
SLC25A1	4	#00FF00FF	Disease Gene
RER1	4	#00FF00FF	RWR Added
C1orf43	4	#00FF00FF	RWR Added
GFPT1	4	#00FF00FF	Disease Gene
DNM2	4	#00FF00FF	RWR Added
VMA21	4	#00FF00FF	RWR Added
DPAGT1	4	#00FF00FF	Disease Gene
FKRP	4	#00FF00FF	RWR Added
GMPPB	4	#00FF00FF	Disease Gene
PUS1	3	#FFCC00FF	RWR Added
NPM3	3	#FFCC00FF	RWR Added
RBM3	3	#FFCC00FF	RWR Added
CHD8	3	#FFCC00FF	Disease Gene
PLEC	3	#FFCC00FF	Disease Gene
CAMKMT	3	#FFCC00FF	RWR Added
PPM1B	3	#FFCC00FF	RWR Added
COPS6	3	#FFCC00FF	RWR Added
PREPL	3	#FFCC00FF	Disease Gene
CAMTA1	3	#FFCC00FF	RWR Added
TOR1AIP1	3	#FFCC00FF	Disease Gene
TRIM45	3	#FFCC00FF	RWR Added
MYO9A	3	#FFCC00FF	Disease Gene
HAUS7	3	#FFCC00FF	RWR Added
FADS3	3	#FFCC00FF	RWR Added
CIR1	3	#FFCC00FF	RWR Added
MADD	3	#FFCC00FF	RWR Added
UNK	3	#FFCC00FF	RWR Added
CYP26C1	1	#FF0000FF	RWR Added
KHDC3L	1	#FF0000FF	RWR Added
SLC3A1	1	#FF0000FF	RWR Added
CYP2C19	1	#FF0000FF	RWR Added
