Node	Cluster	Color	Origin
C12orf75	3	#FFCC00FF	RWR Added
BMP7	3	#FFCC00FF	RWR Added
ATP1B2	3	#FFCC00FF	RWR Added
PNCK	3	#FFCC00FF	RWR Added
RYR3	3	#FFCC00FF	Disease Gene
CAMK2A	3	#FFCC00FF	RWR Added
MYOT	3	#FFCC00FF	RWR Added
PKIA	3	#FFCC00FF	RWR Added
MEGF10	3	#FFCC00FF	Disease Gene
CNTN1	3	#FFCC00FF	Disease Gene
CAP2	2	#FF9900FF	RWR Added
NEXN	2	#FF9900FF	RWR Added
SVIL	2	#FF9900FF	RWR Added
CFL2	2	#FF9900FF	Disease Gene
PDLIM3	2	#FF9900FF	RWR Added
TPM2	2	#FF9900FF	Disease Gene
SGCA	2	#FF9900FF	RWR Added
TPM1	2	#FF9900FF	RWR Added
HACD1	2	#FF9900FF	Disease Gene
SYNPO	2	#FF9900FF	RWR Added
BIN1	2	#FF9900FF	Disease Gene
PPP1R3F	2	#FF9900FF	RWR Added
MYL6B	2	#FF9900FF	RWR Added
PRKAA2	2	#FF9900FF	RWR Added
SPEG	2	#FF9900FF	Disease Gene
SPTB	2	#FF9900FF	RWR Added
GMPR	2	#FF9900FF	RWR Added
USP13	2	#FF9900FF	RWR Added
PDE4DIP	2	#FF9900FF	RWR Added
FBXO32	2	#FF9900FF	RWR Added
MARC1	16	#99CCFFFF	RWR Added
MYMX	16	#99CCFFFF	Disease Gene
DNAAF3	7	#99991EFF	RWR Added
MYH4	7	#99991EFF	RWR Added
PFKM	7	#99991EFF	RWR Added
NTRK3	7	#99991EFF	RWR Added
HEY1	7	#99991EFF	RWR Added
CHAT	7	#99991EFF	RWR Added
PAX7	7	#99991EFF	Disease Gene
FHL1	7	#99991EFF	RWR Added
MYOD1	7	#99991EFF	Disease Gene
XRCC1	1	#FF0000FF	RWR Added
DNM2	1	#FF0000FF	Disease Gene
FXR1	1	#FF0000FF	Disease Gene
BZW1	1	#FF0000FF	RWR Added
YWHAQ	1	#FF0000FF	RWR Added
PPP4R2	1	#FF0000FF	RWR Added
PYROXD1	1	#FF0000FF	Disease Gene
CUL3	1	#FF0000FF	RWR Added
MTM1	1	#FF0000FF	Disease Gene
ENGASE	1	#FF0000FF	RWR Added
CCDC78	1	#FF0000FF	Disease Gene
ZDHHC2	1	#FF0000FF	RWR Added
CDKN1B	1	#FF0000FF	RWR Added
KCTD9	1	#FF0000FF	RWR Added
MACF1	1	#FF0000FF	RWR Added
APP	1	#FF0000FF	RWR Added
CAMK2G	1	#FF0000FF	RWR Added
EPB41L2	1	#FF0000FF	RWR Added
SELENON	1	#FF0000FF	RWR Added
BLVRA	1	#FF0000FF	RWR Added
TUBA4A	1	#FF0000FF	RWR Added
PDLIM5	1	#FF0000FF	RWR Added
ATP2A2	1	#FF0000FF	RWR Added
ACTB	1	#FF0000FF	RWR Added
MAP3K20	1	#FF0000FF	Disease Gene
MYLK2	15	#0000CCFF	RWR Added
TNNI2	15	#0000CCFF	RWR Added
TNNT3	15	#0000CCFF	Disease Gene
LRTM1	15	#0000CCFF	RWR Added
KLHL40	15	#0000CCFF	Disease Gene
XIRP2	15	#0000CCFF	RWR Added
XIRP1	15	#0000CCFF	RWR Added
TNNI1	15	#0000CCFF	RWR Added
CACNA1S	15	#0000CCFF	Disease Gene
MYBPC1	15	#0000CCFF	Disease Gene
MYF6	15	#0000CCFF	RWR Added
MYLPF	15	#0000CCFF	RWR Added
MIR1-1HG	15	#0000CCFF	RWR Added
SLN	15	#0000CCFF	RWR Added
BEST3	15	#0000CCFF	RWR Added
TNNC2	15	#0000CCFF	Disease Gene
PPP1R27	15	#0000CCFF	RWR Added
CACNG6	15	#0000CCFF	RWR Added
CASQ1	13	#CCFF00FF	RWR Added
TRIM72	13	#CCFF00FF	RWR Added
STAC3	13	#CCFF00FF	Disease Gene
ANKRD2	13	#CCFF00FF	RWR Added
MYBPH	13	#CCFF00FF	RWR Added
MYBPC2	13	#CCFF00FF	RWR Added
DDN	13	#CCFF00FF	RWR Added
ATP2A1	12	#FFFF00FF	RWR Added
MYL1	12	#FFFF00FF	Disease Gene
MYH1	12	#FFFF00FF	RWR Added
MYH2	12	#FFFF00FF	Disease Gene
TNNT2	8	#999999FF	RWR Added
TNNI3	8	#999999FF	RWR Added
ACTC1	8	#999999FF	RWR Added
MYBPC3	8	#999999FF	Disease Gene
MYH7	8	#999999FF	Disease Gene
TTN	8	#999999FF	Disease Gene
TNNC1	8	#999999FF	RWR Added
MYPN	8	#999999FF	Disease Gene
ACTN2	8	#999999FF	Disease Gene
CSRP3	8	#999999FF	RWR Added
ANKRD1	8	#999999FF	RWR Added
MYOZ1	14	#358000FF	RWR Added
RPL3L	14	#358000FF	RWR Added
MB	14	#358000FF	RWR Added
COX6A2	14	#358000FF	RWR Added
EEF1A2	11	#FFCCCCFF	RWR Added
APOBEC2	11	#FFCCCCFF	RWR Added
C10orf71	11	#FFCCCCFF	RWR Added
SYNPO2L	11	#FFCCCCFF	RWR Added
SRL	11	#FFCCCCFF	RWR Added
SMYD1	11	#FFCCCCFF	RWR Added
MYOM3	11	#FFCCCCFF	RWR Added
SMPX	11	#FFCCCCFF	RWR Added
MYOM2	11	#FFCCCCFF	RWR Added
