Node	Cluster	Color	Origin
PHYH	3	#FFCC00FF	Disease Gene
PEX7	3	#FFCC00FF	Disease Gene
CAPN1	3	#FFCC00FF	RWR Added
PKM	3	#FFCC00FF	RWR Added
COQ5	3	#FFCC00FF	Disease Gene
UQCRQ	3	#FFCC00FF	RWR Added
AIFM1	3	#FFCC00FF	Disease Gene
MRPS9	3	#FFCC00FF	RWR Added
PRDX3	3	#FFCC00FF	Disease Gene
DNAJC11	3	#FFCC00FF	RWR Added
COA7	3	#FFCC00FF	Disease Gene
POLG	3	#FFCC00FF	Disease Gene
PLD3	1	#FF0000FF	Disease Gene
SCYL1	1	#FF0000FF	Disease Gene
VPS41	1	#FF0000FF	Disease Gene
MMS19	1	#FF0000FF	RWR Added
TPP1	1	#FF0000FF	Disease Gene
ATG7	1	#FF0000FF	Disease Gene
APP	1	#FF0000FF	RWR Added
PIGK	1	#FF0000FF	Disease Gene
TDP2	1	#FF0000FF	Disease Gene
SIL1	1	#FF0000FF	Disease Gene
ZNF562	1	#FF0000FF	RWR Added
GDAP2	1	#FF0000FF	Disease Gene
XRCC1	1	#FF0000FF	Disease Gene
TDP1	1	#FF0000FF	Disease Gene
CWF19L1	1	#FF0000FF	Disease Gene
PITRM1	1	#FF0000FF	Disease Gene
SUMO1	1	#FF0000FF	RWR Added
THG1L	1	#FF0000FF	Disease Gene
UBA5	1	#FF0000FF	Disease Gene
YIPF5	1	#FF0000FF	RWR Added
RNF220	1	#FF0000FF	Disease Gene
NXF1	1	#FF0000FF	RWR Added
MSTO1	1	#FF0000FF	Disease Gene
KBTBD6	1	#FF0000FF	RWR Added
PLA2G6	1	#FF0000FF	RWR Added
TK2	1	#FF0000FF	Disease Gene
DIRAS3	2	#FF9900FF	RWR Added
FAT2	2	#FF9900FF	Disease Gene
MME	2	#FF9900FF	Disease Gene
SLC9A1	2	#FF9900FF	Disease Gene
ITPR1	2	#FF9900FF	Disease Gene
CCDC88C	2	#FF9900FF	Disease Gene
VWA3B	2	#FF9900FF	Disease Gene
KIAA1671	2	#FF9900FF	RWR Added
KIF1C	2	#FF9900FF	RWR Added
GJB1	2	#FF9900FF	RWR Added
PEX10	2	#FF9900FF	RWR Added
WDR73	2	#FF9900FF	Disease Gene
SNX14	2	#FF9900FF	Disease Gene
SLC1A3	2	#FF9900FF	Disease Gene
WWOX	2	#FF9900FF	Disease Gene
SAMD9L	9	#FF00CCFF	Disease Gene
ACTN1	9	#FF00CCFF	RWR Added
MYC	9	#FF00CCFF	RWR Added
BAG3	9	#FF00CCFF	RWR Added
DAXX	4	#00FF00FF	RWR Added
HIST1H3A	4	#00FF00FF	RWR Added
ATM	4	#00FF00FF	Disease Gene
