V1	V2	HP.tsv	coex_BRB.tsv	ppi.tsv	coex_core.tsv	co-essential.tsv	coex_BRO.tsv	coex_LCL.tsv	coex_UTR.tsv	coex_ARG.tsv	coex_SMU.tsv
COQ5	COQ5	0	0	1	0	0	0	0	0	0	0
ZNF562	DNAJC11	0	0	0	0	0	0	0	1	0	0
COA7	COQ5	0	0	0	0	1	0	0	0	0	0
COA7	YIPF5	0	0	0	0	0	0	0	1	0	0
TDP2	YIPF5	0	0	0	1	0	0	0	0	0	0
THG1L	THG1L	0	0	1	0	0	0	0	0	0	0
KBTBD6	ZNF562	0	0	1	0	0	0	0	0	0	0
MRPS9	COQ5	0	0	0	1	1	0	0	0	0	0
MRPS9	ZNF562	0	0	0	0	0	0	0	1	0	0
MRPS9	PITRM1	0	0	0	0	1	0	0	0	0	0
MRPS9	COA7	0	0	0	0	1	0	0	0	0	0
MRPS9	TDP2	0	0	0	0	0	0	0	1	0	0
MRPS9	PUM1	0	0	0	0	0	0	0	0	1	0
UBA5	YIPF5	0	0	0	0	0	0	1	0	0	0
UBA5	MSTO1	0	0	0	0	0	0	0	1	0	0
UBA5	UBA5	0	0	1	0	0	0	0	0	0	0
PRDX3	COQ5	0	0	0	0	0	0	0	0	1	1
PRDX3	YIPF5	0	0	0	1	0	0	0	0	0	0
PRDX3	COA7	0	0	0	0	0	0	0	1	0	0
PRDX3	MRPS9	0	0	0	1	0	0	0	0	0	0
PRDX3	UBA5	0	0	1	0	0	0	0	0	0	0
PRDX3	PRDX3	0	0	1	0	0	0	0	0	0	0
ATG5	YIPF5	0	0	0	1	0	0	0	0	0	0
ATG5	ZNF562	0	0	0	0	0	0	0	1	0	0
ATG5	TDP2	0	0	0	1	0	0	0	0	0	0
ATG5	PUM1	0	0	0	0	0	0	0	0	1	0
ATG5	MRPS9	0	0	0	0	0	0	0	1	1	0
ATG5	PRDX3	0	0	0	1	0	0	0	0	0	0
ATG5	ATG5	0	0	1	0	0	0	0	0	0	0
SCYL1	YIPF5	0	0	0	0	1	0	0	0	0	0
SCYL1	SCYL1	0	0	1	0	0	0	0	0	0	0
VPS41	COQ5	0	0	0	0	0	0	0	0	1	0
VPS41	YIPF5	0	0	0	0	0	0	0	0	1	0
VPS41	PRDX3	0	0	0	0	0	0	0	0	1	0
VPS41	VPS41	0	0	1	0	0	0	0	0	0	0
ATG7	DNAJC11	0	0	0	0	0	1	0	0	0	0
ATG7	PUM1	0	0	0	0	0	0	0	0	1	0
ATG7	MRPS9	0	0	0	0	0	0	0	0	1	0
ATG7	ATG5	0	0	0	0	0	0	0	0	1	0
ATG7	VPS41	0	0	0	0	0	0	0	0	0	1
ATG7	ATG7	0	0	1	0	0	0	0	0	0	0
VPS13D	DNAJC11	0	0	0	0	0	1	0	0	0	0
VPS13D	PITRM1	0	0	0	1	0	0	0	0	0	0
VPS13D	COA7	0	0	0	0	0	0	0	0	0	1
VPS13D	PUM1	0	0	0	1	0	0	0	0	0	0
VPS13D	UBR4	0	0	0	1	0	0	0	0	0	0
VPS13D	ATG7	0	0	0	0	0	0	0	0	1	0
CAPN1	PUM1	0	0	0	0	0	0	0	0	1	0
CAPN1	MRPS9	0	0	0	0	0	0	0	0	1	0
CAPN1	ATG5	0	0	1	0	0	0	0	0	0	0
CAPN1	SCYL1	0	0	0	0	0	0	0	1	0	0
CAPN1	ATG7	0	0	0	0	0	0	0	0	1	0
CAPN1	VPS13D	0	0	0	0	0	0	0	0	1	0
TRIM25	DNAJC11	0	0	1	0	0	0	0	0	0	0
TRIM25	RNU12	0	0	1	0	0	0	0	0	0	0
TRIM25	GDAP2	0	0	1	0	0	0	0	0	0	0
TRIM25	PUM1	0	0	1	0	0	0	0	0	0	0
TRIM25	UBA5	0	0	0	0	0	0	0	1	0	0
TRIM25	ATG7	0	0	1	0	0	0	0	0	0	0
TRIM25	TRIM25	0	0	1	0	0	0	0	0	0	0
HIST1H3A	DNAJC11	0	0	1	0	0	0	0	0	0	0
HIST1H3A	TDP2	0	0	1	0	0	0	0	0	0	0
HIST1H3A	UBR4	0	0	1	0	0	0	0	0	0	0
HIST1H3A	MRPS9	0	0	1	0	0	0	0	0	0	0
HIST1H3A	HIST1H3A	0	0	1	0	0	0	0	0	0	0
NXF1	COQ5	0	0	1	0	0	0	0	0	0	0
NXF1	UBR4	0	0	1	0	0	0	0	0	0	0
NXF1	NXF1	0	0	1	0	0	0	0	0	0	0
MMS19	PITRM1	0	0	0	0	0	1	0	1	0	0
MMS19	MSTO1	0	0	0	0	0	0	0	1	0	0
MMS19	PUM1	0	0	0	0	0	0	1	0	0	0
MMS19	UBA5	0	0	0	0	0	0	0	1	0	0
MMS19	SCYL1	0	0	0	0	0	0	0	0	1	0
MMS19	ATG7	0	0	0	0	0	0	0	0	0	1
GTF2A1	YIPF5	0	0	0	1	0	0	0	0	0	0
GTF2A1	GDAP2	0	0	0	0	0	0	1	0	0	0
GTF2A1	TDP2	0	0	0	1	0	0	0	0	0	0
GTF2A1	PUM1	0	0	0	1	0	0	0	0	0	0
GTF2A1	ATG5	0	0	0	0	0	0	0	1	0	0
GTF2A1	VPS41	0	0	0	1	0	0	0	0	0	0
GTF2A1	ATG7	0	0	1	0	0	0	0	0	0	0
PKM	COQ5	0	0	0	0	0	0	0	0	1	0
PKM	CAPN1	0	0	0	0	0	1	0	0	0	0
PKM	TRIM25	0	0	1	0	0	0	0	0	0	0
PKM	HIST1H3A	0	0	1	0	0	0	0	0	0	0
PKM	MMS19	0	0	0	0	1	0	0	0	0	0
PKM	PKM	0	0	1	0	0	0	0	0	0	0
XRCC1	HIST1H3A	0	0	1	0	0	0	0	0	0	0
XRCC1	MMS19	0	0	0	1	0	0	0	0	0	0
PIGK	YIPF5	0	0	0	0	0	0	0	1	0	0
PIGK	MRPS9	0	0	0	0	0	0	1	0	0	0
PIGK	UBA5	0	0	0	0	0	0	0	0	0	1
PIGK	PRDX3	0	0	0	1	0	0	0	0	0	0
PIGK	ATG5	0	0	0	0	0	0	1	0	1	0
PIGK	VPS41	0	0	0	1	0	0	0	0	0	0
PIGK	ATG7	0	0	0	0	0	0	0	0	1	0
PIGK	VPS13D	0	0	0	0	0	0	0	0	1	0
PIGK	GTF2A1	0	0	0	1	0	0	0	0	0	0
DAXX	SCYL1	0	0	0	1	0	0	0	0	0	0
DAXX	CAPN1	0	0	0	0	0	0	1	0	0	0
DAXX	HIST1H3A	0	0	1	0	0	0	0	0	0	0
DAXX	DAXX	0	0	1	0	0	0	0	0	0	0
RNF220	DNAJC11	0	0	0	1	0	0	0	0	0	0
RNF220	ZNF562	0	0	0	0	0	0	0	1	0	0
RNF220	CAPN1	0	0	0	0	0	0	0	0	0	1
RNF220	TRIM25	0	0	1	0	0	0	0	0	0	0
RNF220	NXF1	0	0	0	0	0	0	1	0	0	0
RNF220	MMS19	0	0	0	1	0	0	0	0	0	0
RNF220	XRCC1	0	0	0	1	0	0	0	0	0	0
RNF220	DAXX	0	0	0	1	0	0	0	0	0	0
MME	MME	0	0	1	0	0	0	0	0	0	0
KIAA1671	DNAJC11	0	0	0	0	0	0	0	0	1	0
SIRT1	TDP2	0	0	0	0	0	0	0	1	0	0
SIRT1	PUM1	0	0	0	1	0	0	0	0	0	0
SIRT1	ATG5	0	0	1	0	0	0	0	0	0	0
SIRT1	ATG7	0	0	1	0	0	0	0	0	0	0
SIRT1	VPS13D	0	0	0	0	0	0	0	0	0	1
SIRT1	HIST1H3A	0	0	1	0	0	0	0	0	0	0
SIRT1	GTF2A1	0	0	1	0	0	0	0	0	0	0
SIRT1	SIRT1	0	0	1	0	0	0	0	0	0	0
TPPP	RNF220	0	1	0	0	0	1	0	0	0	0
TPPP	TPPP	0	0	1	0	0	0	0	0	0	0
NPTX1	TRIM25	0	0	1	0	0	0	0	0	0	0
NPTX1	NPTX1	0	0	1	0	0	0	0	0	0	0
VWA3B	SIRT1	0	0	1	0	0	0	0	0	0	0
TOMM70	YIPF5	0	0	0	1	0	0	0	0	0	0
TOMM70	DNAJC11	0	0	0	0	1	0	0	0	0	1
TOMM70	COA7	0	0	0	0	1	0	0	0	0	0
TOMM70	MRPS9	0	0	0	1	1	0	0	0	0	0
TOMM70	PRDX3	0	0	0	1	0	0	0	0	0	0
TOMM70	ATG5	0	0	0	1	0	0	0	0	0	0
TOMM70	GTF2A1	0	0	0	1	0	0	0	0	0	0
INA	CAPN1	0	0	1	0	0	0	0	0	0	0
INA	TPPP	0	0	0	0	0	0	0	0	1	0
INA	VWA3B	0	0	1	0	0	0	0	0	0	0
SYT16	TOMM70	0	1	0	0	0	0	0	0	0	0
SYT16	INA	0	1	0	0	0	1	0	0	0	0
SYT16	SYT16	0	0	1	0	0	0	0	0	0	0
MYC	TRIM25	0	0	1	0	0	0	0	0	0	0
