V1	V2	MP.tsv	ppi.tsv	coex_HRV.tsv	coex_ATT.tsv	coex_STM.tsv	HP.tsv	drugs_KEGG.tsv	coex_CLT.tsv	coex_HRA.tsv	coex_ATA.tsv	coex_EMC.tsv	co-essential.tsv	coex_ARG.tsv	coex_KDN.tsv	coex_ADS.tsv	coex_VGN.tsv	coex_GEJ.tsv	coex_ITI.tsv	coex_WBL.tsv	coex_BRB.tsv	coex_THY.tsv
CALM3	GET3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
CALM2	CALM3	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
TECRL	CALM3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TECRL	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN3B	CALM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SCN3B	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPD1L	CALM3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GPD1L	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GPD1L	TECRL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPD1L	SCN3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HACD1	CALM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HACD1	GPD1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GATAD1	TMEM168	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GATAD1	GATAD1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL3	GET3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0
SCO2	MRPL3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RPL3L	TECRL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ2	CALM3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ2	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ2	TECRL	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CASQ2	SCN3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ2	GPD1L	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CASQ2	CASQ2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX15	GET3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
COX15	MRPL3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
COX15	SCO2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MYL4	TECRL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MYL3	TECRL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL3	CALR3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL3	RPL3L	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL3	MYL4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL44	CALM3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MRPL44	GPD1L	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MRPL44	MRPL3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MRPL44	SCO2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MRPL44	CASQ2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL44	COX15	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0
NDUFAF1	CALM3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NDUFAF1	GPD1L	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NDUFAF1	MRPL3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
NDUFAF1	SCO2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDUFAF1	COX15	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
NDUFAF1	MRPL44	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CACNB2	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNB2	TECRL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNB2	SCN3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CACNB2	GPD1L	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNB2	HACD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CACNB2	CASQ2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
SCN1B	SCN3B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
KCNE1	CALM3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE1	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE1	TECRL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE1	SCN3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE1	GPD1L	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE1	CASQ2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE1	CACNB2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	CALM3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	TECRL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	GPD1L	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	HACD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EYA4	CALR3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	GATAD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	SCO2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	CASQ2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	MYL3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	KCNE1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EYA4	EYA4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH7	TECRL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH7	GATAD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH7	RPL3L	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	CASQ2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
PRDM16	SCN1B	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
LAMA4	HACD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LAMA4	GATAD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMA4	CASQ2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
LAMA4	CACNB2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
LAMA4	SCN1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LAMA4	EYA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LAMA4	MYH7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMA4	PRDM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PSEN1	GET3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PSEN1	CALM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PSEN1	VEZF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
PSEN1	COX15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PSEN1	MRPL44	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
PSEN1	PSEN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	CALM3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	TECRL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
