Node	Cluster	Color	Origin
PNKP	6	#CC33FFFF	Disease Gene
GTPBP1	6	#CC33FFFF	RWR Added
MORC2	6	#CC33FFFF	Disease Gene
MARS1	6	#CC33FFFF	Disease Gene
NAA10	6	#CC33FFFF	RWR Added
NXF1	6	#CC33FFFF	RWR Added
SPG7	6	#CC33FFFF	RWR Added
CTDP1	6	#CC33FFFF	Disease Gene
TAB1	6	#CC33FFFF	RWR Added
ZNF598	6	#CC33FFFF	RWR Added
MCM3AP	6	#CC33FFFF	Disease Gene
ZNF839	6	#CC33FFFF	RWR Added
RNF31	6	#CC33FFFF	RWR Added
ZNF596	6	#CC33FFFF	RWR Added
FLVCR1	6	#CC33FFFF	Disease Gene
SYNGR1	6	#CC33FFFF	RWR Added
TOM1L2	6	#CC33FFFF	RWR Added
NEURL4	6	#CC33FFFF	RWR Added
RNF123	6	#CC33FFFF	RWR Added
PPIP5K1	6	#CC33FFFF	RWR Added
TRIM3	6	#CC33FFFF	RWR Added
POLG	6	#CC33FFFF	RWR Added
IGHMBP2	6	#CC33FFFF	Disease Gene
SBF1	6	#CC33FFFF	Disease Gene
GBF1	6	#CC33FFFF	Disease Gene
MYO9B	6	#CC33FFFF	Disease Gene
TJAP1	6	#CC33FFFF	RWR Added
PWWP3A	6	#CC33FFFF	RWR Added
ANO8	6	#CC33FFFF	RWR Added
SGSM2	6	#CC33FFFF	RWR Added
MAPKBP1	6	#CC33FFFF	RWR Added
HGSNAT	4	#00FF00FF	RWR Added
HARS	4	#00FF00FF	Disease Gene
CRELD1	4	#00FF00FF	RWR Added
ZFHX2	4	#00FF00FF	Disease Gene
GPR135	4	#00FF00FF	RWR Added
KIAA1841	4	#00FF00FF	RWR Added
CNTRL	4	#00FF00FF	RWR Added
HACE1	4	#00FF00FF	RWR Added
CDC73	4	#00FF00FF	RWR Added
EP300	4	#00FF00FF	RWR Added
RASSF5	4	#00FF00FF	RWR Added
CRTC3	4	#00FF00FF	RWR Added
RLF	4	#00FF00FF	RWR Added
FNDC3A	4	#00FF00FF	RWR Added
MYSM1	4	#00FF00FF	RWR Added
MED23	4	#00FF00FF	RWR Added
FBXO38	4	#00FF00FF	RWR Added
HNRNPL	4	#00FF00FF	RWR Added
SETX	4	#00FF00FF	RWR Added
DNAJC10	4	#00FF00FF	RWR Added
ARFGEF2	4	#00FF00FF	RWR Added
SPG11	4	#00FF00FF	Disease Gene
PIK3CB	4	#00FF00FF	RWR Added
PAFAH1B1	4	#00FF00FF	RWR Added
ATL1	4	#00FF00FF	Disease Gene
ALDH3A2	4	#00FF00FF	RWR Added
CNST	4	#00FF00FF	RWR Added
MFN1	4	#00FF00FF	RWR Added
DHTKD1	4	#00FF00FF	Disease Gene
CCNDBP1	4	#00FF00FF	RWR Added
TGOLN2	4	#00FF00FF	RWR Added
SLC12A6	4	#00FF00FF	Disease Gene
ABCD3	4	#00FF00FF	RWR Added
NARS1	4	#00FF00FF	Disease Gene
RABGAP1L	4	#00FF00FF	RWR Added
OXR1	4	#00FF00FF	RWR Added
RTN4	4	#00FF00FF	RWR Added
SRPK2	4	#00FF00FF	RWR Added
COASY	9	#FF00CCFF	RWR Added
SPAST	9	#FF00CCFF	RWR Added
CHMP2B	9	#FF00CCFF	RWR Added
SOD1	9	#FF00CCFF	RWR Added
VCP	9	#FF00CCFF	Disease Gene
CHP1	9	#FF00CCFF	RWR Added
ATP6AP1	9	#FF00CCFF	RWR Added
ATP1A1	9	#FF00CCFF	Disease Gene
HK1	9	#FF00CCFF	Disease Gene
AMFR	9	#FF00CCFF	RWR Added
ERLIN2	9	#FF00CCFF	RWR Added
PSAP	9	#FF00CCFF	RWR Added
CRADD	9	#FF00CCFF	RWR Added
GLB1	9	#FF00CCFF	RWR Added
SPG21	9	#FF00CCFF	RWR Added
CAPZA2	9	#FF00CCFF	RWR Added
