Node	Cluster	Color	Origin
GJC2	7	#99991EFF	Disease Gene
NKX6-2	7	#99991EFF	Disease Gene
PLP1	7	#99991EFF	Disease Gene
FA2H	7	#99991EFF	Disease Gene
MAG	7	#99991EFF	Disease Gene
SPAST	5	#6699FFFF	Disease Gene
CYP2U1	5	#6699FFFF	Disease Gene
ALS2	5	#6699FFFF	Disease Gene
SPG21	5	#6699FFFF	Disease Gene
ATP13A2	5	#6699FFFF	Disease Gene
SPG7	5	#6699FFFF	Disease Gene
SPG11	5	#6699FFFF	Disease Gene
ZFYVE26	5	#6699FFFF	Disease Gene
KIF1C	5	#6699FFFF	Disease Gene
GBA2	5	#6699FFFF	Disease Gene
AFG3L2	5	#6699FFFF	Disease Gene
C19orf12	5	#6699FFFF	Disease Gene
VAMP1	5	#6699FFFF	Disease Gene
UCHL1	5	#6699FFFF	Disease Gene
SACS	5	#6699FFFF	Disease Gene
ZFYVE27	3	#FFCC00FF	Disease Gene
CPT1C	3	#FFCC00FF	Disease Gene
KIF5A	3	#FFCC00FF	Disease Gene
RTN2	3	#FFCC00FF	Disease Gene
REEP2	3	#FFCC00FF	Disease Gene
NIPA1	3	#FFCC00FF	Disease Gene
AP5Z1	3	#FFCC00FF	Disease Gene
RNF170	3	#FFCC00FF	Disease Gene
ARL6IP1	3	#FFCC00FF	Disease Gene
ATL1	3	#FFCC00FF	Disease Gene
REEP1	3	#FFCC00FF	Disease Gene
DDHD1	3	#FFCC00FF	Disease Gene
TFG	3	#FFCC00FF	Disease Gene
TMEM63C	6	#CC33FFFF	Disease Gene
B4GALNT1	6	#CC33FFFF	Disease Gene
L1CAM	6	#CC33FFFF	Disease Gene
PCYT2	2	#FF9900FF	Disease Gene
ERLIN2	2	#FF9900FF	Disease Gene
ALDH3A2	2	#FF9900FF	Disease Gene
CYP7B1	2	#FF9900FF	Disease Gene
HPDL	2	#FF9900FF	Disease Gene
FARS2	2	#FF9900FF	Disease Gene
CHP1	2	#FF9900FF	Disease Gene
MTPAP	2	#FF9900FF	Disease Gene
SLC33A1	2	#FF9900FF	Disease Gene
C12orf65	2	#FF9900FF	Disease Gene
TECPR2	4	#00FF00FF	Disease Gene
AP4B1	4	#00FF00FF	Disease Gene
AP4E1	4	#00FF00FF	Disease Gene
AP4M1	4	#00FF00FF	Disease Gene
AP4S1	4	#00FF00FF	Disease Gene
ENTPD1	4	#00FF00FF	Disease Gene
NT5C2	4	#00FF00FF	Disease Gene
KIF1A	4	#00FF00FF	Disease Gene
DDHD2	4	#00FF00FF	Disease Gene
BSCL2	1	#FF0000FF	Disease Gene
KLC2	1	#FF0000FF	Disease Gene
AMPD2	1	#FF0000FF	Disease Gene
CAPN1	1	#FF0000FF	Disease Gene
PNPLA6	1	#FF0000FF	Disease Gene
ALDH18A1	1	#FF0000FF	Disease Gene
MARS2	1	#FF0000FF	Disease Gene
HSPD1	1	#FF0000FF	Disease Gene
EIF4G1	1	#FF0000FF	RWR Added
IBA57	1	#FF0000FF	Disease Gene
MARS1	1	#FF0000FF	Disease Gene
ABHD16A	1	#FF0000FF	Disease Gene
PI4KA	1	#FF0000FF	Disease Gene
HACE1	1	#FF0000FF	Disease Gene
KPNA3	1	#FF0000FF	Disease Gene
UBAP1	1	#FF0000FF	Disease Gene
VPS37A	1	#FF0000FF	Disease Gene
ERLIN1	1	#FF0000FF	Disease Gene
KIDINS220	1	#FF0000FF	Disease Gene
SELENOI	1	#FF0000FF	Disease Gene
