V1	V2	HP.tsv	coex_BRC.tsv	coex_BRB.tsv	coex_LVR.tsv	coex_BRO.tsv	coex_CLT.tsv	coex_STM.tsv	coex_ITI.tsv	co-essential.tsv	metabolism_RECON3D.tsv
PCYT2	CHP1	0	0	0	0	0	0	0	1	0	0
SELENOI	CHP1	0	0	0	0	0	0	0	1	0	0
SELENOI	PCYT2	0	0	0	0	0	0	0	0	1	0
B4GALNT1	ABHD16A	0	1	0	0	0	0	0	0	0	0
KIDINS220	UBAP1	0	0	0	0	0	1	0	1	0	0
KIDINS220	SELENOI	0	1	0	0	0	0	0	0	0	0
ERLIN1	CHP1	0	0	0	0	0	1	0	0	0	0
KPNA3	UBAP1	0	0	0	0	0	0	0	1	0	0
KPNA3	KIDINS220	0	0	0	0	0	0	0	1	0	0
CAPN1	PI4KA	0	0	0	1	0	0	0	0	0	0
CAPN1	CHP1	0	0	0	0	0	1	0	0	0	0
CAPN1	PCYT2	0	0	0	0	0	1	0	1	0	0
CAPN1	ERLIN1	0	0	0	0	0	0	1	1	0	0
ALDH3A2	ERLIN1	0	0	0	0	0	0	1	1	0	0
ALDH3A2	CAPN1	0	0	0	0	0	0	1	1	0	0
SPAST	KIDINS220	0	0	0	0	1	0	0	0	0	0
SPAST	KPNA3	0	1	0	0	0	0	0	0	0	0
VPS37A	UBAP1	0	0	0	0	0	0	0	0	1	0
VPS37A	KIDINS220	0	0	0	0	0	1	1	1	0	0
VPS37A	SPAST	0	1	0	0	0	0	0	0	0	0
MTPAP	SPAST	1	0	0	0	0	0	0	0	0	0
RTN2	B4GALNT1	0	0	0	0	1	0	0	0	0	0
RTN2	SPAST	1	0	0	0	0	0	0	0	0	0
NIPA1	SPAST	1	0	0	0	0	0	0	0	0	0
NIPA1	RTN2	1	0	0	0	0	0	0	0	0	0
CPT1C	PCYT2	0	0	0	0	0	0	0	0	0	1
CPT1C	B4GALNT1	0	0	1	0	0	1	1	1	0	0
CPT1C	SPAST	1	0	0	0	0	0	0	0	0	0
CPT1C	RTN2	1	0	0	0	0	0	0	0	0	0
CPT1C	NIPA1	1	0	0	0	0	0	0	0	0	0
C19orf12	SPAST	1	0	0	0	0	0	0	0	0	0
C19orf12	MTPAP	1	0	0	0	0	0	0	0	0	0
C19orf12	RTN2	1	0	0	0	0	0	0	0	0	0
C19orf12	NIPA1	1	0	0	0	0	0	0	0	0	0
C19orf12	CPT1C	1	0	0	0	0	0	0	0	0	0
MARS2	MARS1	0	0	0	1	0	0	0	0	0	0
MARS2	SELENOI	0	0	0	0	0	1	0	0	0	0
MARS2	MTPAP	0	0	0	0	0	0	0	0	1	0
KIF1C	NKX6-2	0	0	1	0	1	0	0	0	0	0
KIF1C	KPNA3	0	0	0	0	0	0	1	0	0	0
KIF1C	CAPN1	0	0	0	1	0	0	0	0	0	0
KIF1C	MTPAP	1	0	0	0	0	0	0	0	0	0
KIF1C	CPT1C	1	0	0	0	0	0	0	0	0	0
KIF1C	C19orf12	1	0	0	0	0	0	0	0	0	0
KIF1C	MARS2	1	0	0	0	0	0	0	0	0	0
AP5Z1	SPAST	1	0	0	0	0	0	0	0	0	0
AP5Z1	MTPAP	1	0	0	0	0	0	0	0	0	0
AP5Z1	RTN2	1	0	0	0	0	0	0	0	0	0
AP5Z1	NIPA1	1	0	0	0	0	0	0	0	0	0
AP5Z1	CPT1C	1	0	0	0	0	0	0	0	0	0
AP5Z1	C19orf12	1	0	0	0	0	0	0	0	0	0
AP5Z1	KIF1C	1	0	0	0	0	0	0	0	0	0
AP4E1	PI4KA	0	0	0	0	0	1	0	1	0	0
AP4E1	KIDINS220	0	0	0	0	1	0	0	0	0	0
AP4E1	MARS2	1	0	0	0	0	0	0	0	0	0
VAMP1	MTPAP	1	0	0	0	0	0	0	0	0	0
VAMP1	C19orf12	1	0	0	0	0	0	0	0	0	0
VAMP1	KIF1C	1	0	0	0	0	0	0	0	0	0
HSPD1	MARS1	0	0	0	1	0	0	0	0	0	0
HSPD1	SPAST	1	0	0	0	0	0	0	0	0	0
HSPD1	MTPAP	1	0	0	0	0	0	0	0	0	0
HSPD1	RTN2	1	0	0	0	0	0	0	0	0	0
HSPD1	NIPA1	1	0	0	0	0	0	0	0	0	0
HSPD1	CPT1C	1	0	0	0	0	0	0	0	0	0
HSPD1	KIF1C	1	0	0	0	0	0	0	0	0	0
HSPD1	AP5Z1	1	0	0	0	0	0	0	0	0	0
TECPR2	UBAP1	0	0	0	0	0	0	0	1	0	0
TECPR2	KIDINS220	0	0	0	1	0	0	0	1	0	0
TECPR2	KPNA3	0	0	0	0	0	1	0	1	0	0
TECPR2	RTN2	0	0	0	0	0	1	0	0	0	0
TECPR2	KIF1C	0	0	0	0	0	0	1	0	0	0
REEP2	PCYT2	0	1	0	0	0	0	0	0	0	0
REEP2	TMEM63C	0	0	0	0	1	0	0	0	0	0
REEP2	B4GALNT1	0	0	0	0	1	1	1	0	0	0
REEP2	CAPN1	0	1	0	0	0	0	0	0	0	0
REEP2	SPAST	1	0	0	0	0	0	0	0	0	0
REEP2	MTPAP	1	0	0	0	0	0	0	0	0	0
REEP2	RTN2	1	0	0	0	1	1	0	1	0	0
REEP2	NIPA1	1	0	0	0	0	0	0	0	0	0
REEP2	CPT1C	1	0	0	0	0	0	0	0	0	0
REEP2	C19orf12	1	0	0	0	0	0	0	0	0	0
REEP2	KIF1C	1	0	0	0	0	0	0	0	0	0
REEP2	AP5Z1	1	0	0	0	0	0	0	0	0	0
REEP2	VAMP1	1	0	0	0	0	0	0	0	0	0
REEP2	HSPD1	1	0	0	0	0	0	0	0	0	0
DDHD1	SPAST	1	0	0	0	0	0	0	0	0	0
DDHD1	RTN2	1	0	0	0	0	0	0	0	0	0
DDHD1	NIPA1	1	0	0	0	0	0	0	0	0	0
DDHD1	CPT1C	1	0	0	0	0	0	0	0	0	0
DDHD1	C19orf12	1	0	0	0	0	0	0	0	0	0
DDHD1	KIF1C	1	0	0	0	0	0	0	0	0	0
DDHD1	AP5Z1	1	0	0	0	0	0	0	0	0	0
DDHD1	VAMP1	0	0	0	0	0	0	0	1	0	0
DDHD1	HACE1	0	0	0	1	0	0	0	0	0	0
DDHD1	HSPD1	1	0	0	0	0	0	0	0	0	0
DDHD1	REEP2	1	0	0	0	0	0	0	0	0	0
CYP2U1	PCYT2	0	0	0	0	0	0	0	0	0	1
CYP2U1	SPAST	1	0	0	0	0	0	0	0	0	0
CYP2U1	VPS37A	1	0	0	0	0	0	0	0	0	0
CYP2U1	MTPAP	1	0	0	0	0	0	0	0	0	0
CYP2U1	NIPA1	1	0	0	0	0	0	0	0	0	0
CYP2U1	CPT1C	1	0	0	0	0	0	0	0	0	1
CYP2U1	C19orf12	1	0	0	0	0	0	0	0	0	0
CYP2U1	KIF1C	1	0	0	0	0	0	0	0	0	0
CYP2U1	AP5Z1	1	0	0	0	0	0	0	0	0	0
CYP2U1	VAMP1	1	0	0	0	0	0	0	0	0	0
CYP2U1	HACE1	0	0	0	0	0	1	1	0	0	0
CYP2U1	HSPD1	1	0	0	0	0	0	0	0	0	0
CYP2U1	REEP2	1	0	0	0	0	0	0	0	0	0
CYP2U1	DDHD1	1	0	0	0	0	0	0	0	0	0
SACS	SELENOI	0	0	0	0	1	0	0	0	0	0
SACS	B4GALNT1	0	0	0	0	0	0	0	1	0	0
SACS	SPAST	1	0	0	0	0	0	0	0	0	0
SACS	MTPAP	1	0	0	0	0	0	0	0	0	0
SACS	RTN2	1	0	0	0	0	0	0	0	0	0
SACS	NIPA1	1	0	0	0	0	0	0	0	0	0
SACS	C19orf12	1	0	0	0	0	0	0	0	0	0
SACS	KIF1C	1	0	0	0	0	0	0	0	0	0
SACS	VAMP1	1	0	0	0	0	0	0	0	0	0
SACS	HSPD1	1	0	0	0	0	0	0	0	0	0
SACS	REEP2	1	0	0	0	0	0	0	0	0	0
SACS	DDHD1	1	0	0	1	0	0	0	0	0	0
NT5C2	PI4KA	0	0	0	1	0	0	0	0	0	0
NT5C2	ALDH3A2	0	0	0	0	0	0	0	0	0	1
NT5C2	ALDH3A2	0	0	0	0	0	0	0	0	0	1
NT5C2	MTPAP	1	0	0	0	0	0	0	0	0	0
NT5C2	AP4E1	1	0	0	0	0	0	0	0	0	0
NT5C2	HACE1	0	1	0	0	0	0	0	0	0	0
NT5C2	HSPD1	1	0	0	0	0	0	0	0	0	0
NT5C2	CYP2U1	1	0	0	0	0	0	0	0	0	0
C12orf65	SPAST	0	0	0	1	0	0	0	0	0	0
C12orf65	MTPAP	1	0	0	0	0	0	0	0	1	0
C12orf65	C19orf12	1	0	0	0	0	0	0	0	0	0
C12orf65	MARS2	0	0	0	0	0	0	0	0	1	0
C12orf65	KIF1C	1	0	0	0	0	0	0	0	0	0
C12orf65	SACS	1	0	0	0	0	0	0	0	0	0
AFG3L2	PCYT2	0	0	0	0	0	1	0	1	0	0
AFG3L2	CAPN1	0	0	0	0	0	1	0	0	0	0
AFG3L2	ALDH3A2	0	0	0	0	0	0	0	1	0	0
AFG3L2	SPAST	1	0	0	0	0	0	0	0	0	0
AFG3L2	MTPAP	1	0	0	0	0	0	0	0	0	0
AFG3L2	CPT1C	1	0	0	0	0	0	0	0	0	0
