Node	Cluster	Color	Origin
CPT2	2	#FF9900FF	Disease Gene
SLC25A20	2	#FF9900FF	Disease Gene
HADH	2	#FF9900FF	RWR Added
ETFB	2	#FF9900FF	Disease Gene
ETFA	2	#FF9900FF	Disease Gene
ACAD9	2	#FF9900FF	Disease Gene
PRKAG2	3	#FFCC00FF	Disease Gene
PFKM	3	#FFCC00FF	Disease Gene
PYGM	3	#FFCC00FF	Disease Gene
PHKA1	3	#FFCC00FF	Disease Gene
PGAM2	3	#FFCC00FF	Disease Gene
ENO3	3	#FFCC00FF	Disease Gene
LPIN1	1	#FF0000FF	Disease Gene
FLAD1	1	#FF0000FF	Disease Gene
RBCK1	1	#FF0000FF	Disease Gene
PNPLA2	1	#FF0000FF	Disease Gene
GAA	1	#FF0000FF	Disease Gene
SLC22A5	1	#FF0000FF	Disease Gene
ACADVL	1	#FF0000FF	Disease Gene
PNPLA8	1	#FF0000FF	Disease Gene
ABHD5	1	#FF0000FF	Disease Gene
PGK1	1	#FF0000FF	Disease Gene
LDHA	1	#FF0000FF	Disease Gene
AGL	1	#FF0000FF	Disease Gene
GYG1	1	#FF0000FF	Disease Gene
PGM1	1	#FF0000FF	Disease Gene
ETFDH	1	#FF0000FF	Disease Gene
GYS1	1	#FF0000FF	Disease Gene
GBE1	1	#FF0000FF	Disease Gene
SLC16A1	1	#FF0000FF	Disease Gene
