Node	Cluster	Color	Origin
CYP26C1	17	#00FFFFFF	RWR Added
KHDC3L	17	#00FFFFFF	RWR Added
POLE	1	#FF0000FF	RWR Added
POLD1	1	#FF0000FF	Disease Gene
PRIM1	1	#FF0000FF	Disease Gene
POLD2	1	#FF0000FF	Disease Gene
POLD3	1	#FF0000FF	Disease Gene
TRMT13	1	#FF0000FF	RWR Added
SNX5	1	#FF0000FF	RWR Added
IRAK4	1	#FF0000FF	RWR Added
TAF7	1	#FF0000FF	RWR Added
LIG4	1	#FF0000FF	Disease Gene
C16orf87	1	#FF0000FF	RWR Added
SCML1	1	#FF0000FF	RWR Added
FAM114A2	1	#FF0000FF	RWR Added
PRKAA1	1	#FF0000FF	RWR Added
DDHD2	1	#FF0000FF	RWR Added
COPG1	1	#FF0000FF	Disease Gene
PRKDC	1	#FF0000FF	Disease Gene
TOP1	1	#FF0000FF	RWR Added
XRCC5	1	#FF0000FF	RWR Added
ME2	1	#FF0000FF	RWR Added
CHUK	1	#FF0000FF	Disease Gene
CYP2C19	1	#FF0000FF	RWR Added
FCGRT	1	#FF0000FF	RWR Added
CD81	1	#FF0000FF	RWR Added
C11orf74	1	#FF0000FF	RWR Added
PSME1	1	#FF0000FF	RWR Added
RFXANK	1	#FF0000FF	Disease Gene
WWP2	1	#FF0000FF	RWR Added
MEGF9	1	#FF0000FF	RWR Added
RAC1	1	#FF0000FF	RWR Added
MAN2B2	1	#FF0000FF	Disease Gene
LLGL1	1	#FF0000FF	RWR Added
NUDCD3	1	#FF0000FF	Disease Gene
IKBKB	5	#6699FFFF	Disease Gene
RFX5	5	#6699FFFF	Disease Gene
RFXAP	5	#6699FFFF	Disease Gene
MALT1	5	#6699FFFF	Disease Gene
LTB	5	#6699FFFF	RWR Added
BIRC3	5	#6699FFFF	RWR Added
BCL10	5	#6699FFFF	Disease Gene
NHEJ1	5	#6699FFFF	Disease Gene
RAG1	5	#6699FFFF	Disease Gene
