Node	Cluster	Color	Origin
MVP	9	#FF00CCFF	RWR Added
STAT3	9	#FF00CCFF	Disease Gene
NFKB2	9	#FF00CCFF	RWR Added
PNP	9	#FF00CCFF	Disease Gene
TNFRSF10B	9	#FF00CCFF	RWR Added
IRF7	9	#FF00CCFF	RWR Added
CD40	9	#FF00CCFF	RWR Added
NFKBIA	9	#FF00CCFF	Disease Gene
LMNA	9	#FF00CCFF	RWR Added
TNIP2	9	#FF00CCFF	RWR Added
ELF4	9	#FF00CCFF	RWR Added
TNFRSF1B	9	#FF00CCFF	RWR Added
IL6R	9	#FF00CCFF	Disease Gene
SP140L	9	#FF00CCFF	RWR Added
ARPC1B	9	#FF00CCFF	Disease Gene
PALD1	10	#CC0000FF	RWR Added
TGFBR1	10	#CC0000FF	Disease Gene
CTLA4	10	#CC0000FF	RWR Added
CD28	10	#CC0000FF	Disease Gene
WAS	10	#CC0000FF	Disease Gene
WIPF1	10	#CC0000FF	Disease Gene
DOCK8	10	#CC0000FF	RWR Added
BLNK	10	#CC0000FF	RWR Added
CR2	8	#999999FF	RWR Added
ICOS	8	#999999FF	RWR Added
TNFRSF13B	8	#999999FF	RWR Added
CD79B	8	#999999FF	RWR Added
CD19	8	#999999FF	RWR Added
TNFRSF13C	8	#999999FF	RWR Added
ZAP70	8	#999999FF	RWR Added
CARD11	8	#999999FF	Disease Gene
CD3G	8	#999999FF	RWR Added
IL21R	8	#999999FF	RWR Added
IL10RA	8	#999999FF	RWR Added
CASP8	8	#999999FF	RWR Added
UNG	8	#999999FF	RWR Added
DNMT3B	8	#999999FF	Disease Gene
IKBKB	8	#999999FF	Disease Gene
PRKCD	8	#999999FF	RWR Added
NFKB1	8	#999999FF	RWR Added
LIG4	1	#FF0000FF	RWR Added
XRCC4	1	#FF0000FF	RWR Added
MSH2	1	#FF0000FF	RWR Added
PMS2	1	#FF0000FF	Disease Gene
ATRX	1	#FF0000FF	RWR Added
NBN	1	#FF0000FF	Disease Gene
SMC4	1	#FF0000FF	RWR Added
MSH3	1	#FF0000FF	RWR Added
GINS1	1	#FF0000FF	Disease Gene
MCM10	1	#FF0000FF	Disease Gene
GINS4	1	#FF0000FF	Disease Gene
POLE2	1	#FF0000FF	Disease Gene
CDCA7	1	#FF0000FF	Disease Gene
STMN1	1	#FF0000FF	RWR Added
MCM4	1	#FF0000FF	Disease Gene
BLM	1	#FF0000FF	Disease Gene
HELLS	1	#FF0000FF	Disease Gene
TERF1	6	#CC33FFFF	RWR Added
POP4	6	#CC33FFFF	RWR Added
NSMCE3	6	#CC33FFFF	Disease Gene
