V1	V2	coex_BRO.tsv	HP.tsv	coex_THY.tsv	ppi.tsv	coex_BRB.tsv	coex_LCL.tsv	coex_HRA.tsv	coex_WBL.tsv	coex_LNG.tsv	coex_ARG.tsv	coex_PIT.tsv	coex_MSG.tsv
POLE2	GINS1	0	0	0	0	0	1	0	0	0	0	0	0
GINS4	GINS1	0	0	0	1	0	1	0	0	0	0	0	0
GINS4	POLE2	0	0	0	0	0	1	0	0	0	0	0	0
TERF2	POP4	0	0	0	0	0	0	0	0	0	1	0	0
ESR2	POP4	0	0	0	1	0	0	0	0	0	0	0	0
ESR2	TERF2	0	0	0	1	0	0	0	0	0	0	0	0
MCM10	POLE2	0	0	0	0	0	1	0	0	0	0	0	0
MCM10	GINS4	0	0	0	0	0	1	0	0	0	0	0	0
HNRNPL	POP4	0	0	0	0	0	0	0	0	0	0	1	0
HNRNPL	TERF2	0	0	0	0	0	1	0	0	0	0	0	0
SMARCAL1	TERF2	0	0	0	0	0	0	0	1	0	0	0	0
ILF3	POP4	0	0	0	0	0	0	0	0	0	0	1	0
ILF3	HNRNPL	0	0	0	1	0	0	0	0	0	0	0	0
RNF168	TERF2	0	0	0	0	0	0	0	0	0	0	0	1
RNF168	HNRNPL	0	0	0	0	0	0	1	0	1	0	0	0
HELLS	POLE2	0	0	0	0	0	1	0	0	0	0	0	0
ZAP70	FLT3LG	0	0	0	0	0	0	0	1	0	0	0	0
CYP26C1	RNF168	0	1	0	0	0	0	0	0	0	0	0	0
CYP26C1	ZAP70	0	1	0	0	0	0	0	0	0	0	0	0
FOXN1	GINS1	0	0	0	0	0	0	0	0	0	0	0	1
FOXN1	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
IL21R	FLT3LG	0	0	0	0	0	0	0	1	0	0	0	0
IL21R	IKZF3	0	0	0	0	0	0	0	1	0	0	0	0
IL21R	ZAP70	0	1	0	0	0	0	0	1	0	0	0	0
IL21R	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
CYP2C19	RNF168	0	1	0	0	0	0	0	0	0	0	0	0
CYP2C19	ZAP70	0	1	0	0	0	0	0	0	0	0	0	0
CYP2C19	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
CYP2C19	FOXN1	0	1	0	0	0	0	0	0	0	0	0	0
CYP2C19	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
ICOS	ZAP70	0	1	1	0	0	0	0	0	0	0	0	0
ICOS	IL21R	0	1	0	0	0	0	0	1	0	0	0	0
CD19	IKZF3	0	0	1	0	0	0	0	0	0	0	0	0
CD19	ZAP70	0	1	1	0	0	0	0	0	0	0	0	0
CD19	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
CD19	ICOS	0	1	0	0	0	0	0	0	0	0	0	0
DNMT3B	HELLS	0	1	0	1	0	0	0	0	0	0	0	0
DNMT3B	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
DNMT3B	ICOS	0	1	0	0	0	0	0	0	0	0	0	0
DNMT3B	CD19	0	1	0	0	0	0	0	0	0	0	0	0
CDCA7	GINS1	0	0	0	0	0	0	0	0	0	0	0	1
CDCA7	HELLS	0	1	0	0	0	0	0	0	0	0	0	1
CDCA7	DNMT3B	0	1	0	0	0	0	0	0	0	0	0	0
KHDC3L	RNF168	0	1	0	0	0	0	0	0	0	0	0	0
KHDC3L	ZAP70	0	1	0	0	0	0	0	0	0	0	0	0
KHDC3L	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
KHDC3L	FOXN1	0	1	0	0	0	0	0	0	0	0	0	0
KHDC3L	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
KHDC3L	CYP2C19	0	1	0	0	0	0	0	0	0	0	0	0
SIN3A	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
SIN3A	IKZF3	0	0	0	1	0	0	0	0	0	0	0	0
SIN3A	ILF3	0	0	0	0	0	1	0	0	0	0	0	1
SIN3A	RNU4ATAC	0	1	0	0	0	0	0	0	0	0	0	0
SIN3A	DNMT3B	0	0	0	1	0	0	0	0	0	0	0	0
CD3G	IKZF3	0	0	1	0	0	0	0	1	1	0	0	0
CD3G	ZAP70	0	1	1	0	0	0	0	0	0	0	0	0
CD3G	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
CD3G	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
CD3G	CYP2C19	0	1	0	0	0	0	0	0	0	0	0	0
CD3G	ICOS	0	1	1	0	0	0	0	1	0	0	0	0
CD3G	CD19	0	1	1	0	0	0	0	0	0	0	0	0
CD3G	KHDC3L	0	1	0	0	0	0	0	0	0	0	0	0
NTRK1	MCM10	0	0	0	1	0	0	0	0	0	0	0	0
NTRK1	HNRNPL	0	0	0	1	0	0	0	0	0	0	0	0
NTRK1	SMARCAL1	0	0	0	1	0	0	0	0	0	0	0	0
NTRK1	ILF3	0	0	0	1	0	0	0	0	0	0	0	0
NTRK1	HELLS	0	0	0	1	0	0	0	0	0	0	0	0
NTRK1	SIN3A	0	0	0	1	0	0	0	0	0	0	0	0
SPINK5	FOXN1	0	0	0	0	0	0	0	0	0	0	0	1
CD79B	POLE2	0	0	0	1	0	0	0	0	0	0	0	0
CD79B	IKZF3	0	0	1	0	0	0	0	0	0	0	0	0
CD79B	HELLS	0	0	0	1	0	0	0	0	0	0	0	0
CD79B	ZAP70	0	1	0	1	0	0	0	0	0	0	0	0
CD79B	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
CD79B	ICOS	0	1	0	0	0	0	0	0	0	0	0	0
CD79B	CD19	0	1	0	1	0	0	0	0	0	0	0	0
CD79B	DNMT3B	0	1	0	0	0	0	0	0	0	0	0	0
CD79B	CD3G	0	1	1	0	0	0	0	0	0	0	0	0
CR2	ZAP70	0	1	0	0	0	0	0	0	0	0	0	0
CR2	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
CR2	ICOS	0	1	0	0	0	0	0	0	0	0	0	0
CR2	CD19	0	1	0	1	0	0	0	0	0	0	0	0
CR2	DNMT3B	0	1	0	0	0	0	0	0	0	0	0	0
CR2	CD3G	0	1	0	0	0	0	0	0	0	0	0	0
CR2	CD79B	0	1	0	0	0	0	0	0	0	0	0	0
CD28	FLT3LG	0	0	0	0	0	0	0	1	0	0	0	0
CD28	IKZF3	0	0	0	0	0	0	0	1	0	0	0	0
CD28	ZAP70	0	0	1	0	0	0	0	0	0	0	0	0
CD28	IL21R	0	0	0	0	0	0	0	1	0	0	0	0
CD28	ICOS	0	0	1	0	0	0	0	1	0	0	0	0
CD28	CD3G	0	0	1	0	0	0	0	1	0	0	0	0
CTLA4	IKZF3	0	0	1	0	0	0	0	0	0	0	0	0
CTLA4	ZAP70	0	1	1	0	0	0	0	0	0	0	0	0
CTLA4	ICOS	0	1	1	0	0	0	0	1	0	0	0	0
CTLA4	CD19	0	1	1	0	0	0	0	0	0	0	0	0
CTLA4	CD3G	0	0	1	0	0	0	0	1	0	0	0	0
CTLA4	CD79B	0	1	0	0	0	0	0	0	0	0	0	0
CTLA4	CR2	0	1	0	0	0	0	0	0	0	0	0	0
CTLA4	CD28	0	1	1	0	0	0	0	1	0	0	0	0
RMRP	POP4	0	0	0	1	0	0	0	0	0	0	0	0
RMRP	ILF3	0	0	0	1	0	0	0	0	0	0	0	0
RMRP	RNU4ATAC	0	1	0	0	0	0	0	0	0	0	0	0
TFG	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
TFG	SPINK5	0	0	0	1	0	0	0	0	0	0	0	0
TBX1	TERF2	0	0	0	1	0	0	0	0	0	0	0	0
TBX1	RNU4ATAC	0	1	0	0	0	0	0	0	0	0	0	0
TBX1	SIN3A	0	1	0	0	0	0	0	0	0	0	0	0
EXT2	ILF3	0	0	0	0	0	0	0	1	0	0	0	0
TNFRSF13B	IKZF3	0	0	1	0	0	0	0	0	0	0	0	0
TNFRSF13B	ZAP70	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	ICOS	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	CD19	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	DNMT3B	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	CD3G	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	CD79B	0	1	1	0	0	0	0	0	0	0	0	0
TNFRSF13B	CR2	0	1	1	0	0	0	0	0	0	0	0	0
TNFRSF13B	CD28	0	0	1	0	0	0	0	0	0	0	0	0
TNFRSF13B	CTLA4	0	1	1	0	0	0	0	0	0	0	0	0
CASP8	ZAP70	0	1	0	0	0	0	0	0	0	0	0	0
CASP8	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
CASP8	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
CASP8	CYP2C19	0	1	0	0	0	0	0	0	0	0	0	0
CASP8	ICOS	0	1	0	0	0	0	0	0	0	0	0	0
CASP8	CD19	0	1	0	0	0	0	0	0	0	0	0	0
CASP8	KHDC3L	0	1	0	0	0	0	0	0	0	0	0	0
CASP8	CD3G	0	1	1	0	0	0	0	0	0	0	0	0
CASP8	CD79B	0	1	0	0	0	0	0	0	0	0	0	0
CASP8	CR2	0	1	0	0	0	0	0	0	0	0	0	0
CASP8	TNFRSF13B	0	1	0	0	0	0	0	0	0	0	0	0
SEMA3E	RNU4ATAC	0	1	0	0	0	0	0	0	0	0	0	0
SEMA3E	SIN3A	0	1	0	0	0	0	0	0	0	0	0	0
SEMA3E	TBX1	0	1	0	0	0	0	0	0	0	0	0	0
XRCC4	HELLS	0	1	0	0	0	0	0	0	0	0	0	0
XRCC4	CDCA7	0	1	0	0	0	0	0	0	0	0	0	0
XRCC4	SIN3A	0	1	0	0	0	0	0	0	0	0	0	0
XRCC4	TBX1	0	1	0	0	0	0	0	0	0	0	0	0
ATRX	POP4	0	0	0	0	0	0	0	0	0	0	1	0
ATRX	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
ATRX	HNRNPL	0	0	0	1	0	0	0	0	0	0	1	0
ATRX	ILF3	0	0	0	0	0	0	0	0	0	0	1	0
ATRX	RNF168	0	0	0	0	0	0	0	0	1	0	0	0
ATRX	HELLS	0	1	0	0	0	0	0	0	0	0	0	0
