Node	Cluster	Color	Origin
TRNT1	1	#FF0000FF	Disease Gene
KARS1	1	#FF0000FF	Disease Gene
FNIP1	1	#FF0000FF	Disease Gene
INO80	1	#FF0000FF	Disease Gene
CTNNBL1	1	#FF0000FF	Disease Gene
MOGS	1	#FF0000FF	Disease Gene
UNG	1	#FF0000FF	Disease Gene
IRF2BP2	1	#FF0000FF	Disease Gene
MSH6	1	#FF0000FF	Disease Gene
TOP2B	1	#FF0000FF	Disease Gene
TNFSF13	1	#FF0000FF	Disease Gene
SEC61A1	1	#FF0000FF	Disease Gene
ATP6AP1	1	#FF0000FF	Disease Gene
SLC39A7	1	#FF0000FF	Disease Gene
PTEN	1	#FF0000FF	Disease Gene
SH3KBP1	1	#FF0000FF	Disease Gene
PIK3R1	1	#FF0000FF	Disease Gene
TCF3	1	#FF0000FF	Disease Gene
IGKC	3	#FFCC00FF	Disease Gene
IGLL1	3	#FFCC00FF	Disease Gene
CR2	3	#FFCC00FF	RWR Added
AICDA	3	#FFCC00FF	Disease Gene
TNFSF12	3	#FFCC00FF	Disease Gene
NFKB2	3	#FFCC00FF	Disease Gene
CD81	3	#FFCC00FF	Disease Gene
NFKB1	3	#FFCC00FF	Disease Gene
IGHM	2	#FF9900FF	Disease Gene
PAX5	2	#FF9900FF	Disease Gene
TNFRSF13B	2	#FF9900FF	Disease Gene
CD79A	2	#FF9900FF	Disease Gene
TNFRSF13C	2	#FF9900FF	Disease Gene
CD19	2	#FF9900FF	Disease Gene
CD79B	2	#FF9900FF	Disease Gene
IKZF1	2	#FF9900FF	Disease Gene
POU2AF1	2	#FF9900FF	Disease Gene
BLNK	2	#FF9900FF	Disease Gene
BTK	2	#FF9900FF	Disease Gene
CARD11	2	#FF9900FF	Disease Gene
RAC2	2	#FF9900FF	Disease Gene
PIK3CD	2	#FF9900FF	Disease Gene
PIK3CG	2	#FF9900FF	Disease Gene
ARHGEF1	2	#FF9900FF	Disease Gene
SPI1	2	#FF9900FF	Disease Gene
