V1	V2	coex_THY.tsv	ppi.tsv	coex_KDN.tsv	HP.tsv	MP.tsv	coex_ITI.tsv	coex_core.tsv	coex_CLT.tsv	reactome_copathway.tsv	coex_CLS.tsv	coex_WBL.tsv	coex_ATC.tsv	coex_SPL.tsv	coex_PIT.tsv
AICDA	IGKC	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AICDA	IGLL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BLNK	IGLL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BLNK	AICDA	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PTEN	MSH6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PTEN	FNIP1	0	0	0	0	0	0	0	1	0	0	1	0	1	0
PIK3R1	IGLL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PIK3R1	BLNK	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PIK3R1	FNIP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PIK3R1	PTEN	0	0	0	0	0	0	0	0	1	0	0	0	1	0
CTNNBL1	AICDA	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CTNNBL1	MSH6	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TNFRSF13B	IGKC	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	IGLL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	AICDA	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	BLNK	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	TNFSF12	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHM	IGKC	0	1	0	1	0	0	0	0	0	0	0	0	0	0
IGHM	IGLL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHM	AICDA	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHM	BLNK	0	0	0	1	0	1	0	1	0	0	1	0	0	0
IGHM	PIK3R1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGHM	TNFRSF13B	1	0	0	1	0	1	0	1	0	1	1	0	0	0
CARD11	IGKC	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CARD11	IGLL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CARD11	AICDA	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CARD11	BLNK	0	0	0	1	0	0	0	0	0	1	0	1	0	0
CARD11	TNFSF12	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CARD11	TNFRSF13B	1	0	0	1	0	1	0	1	0	1	0	0	1	0
CARD11	IGHM	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PAX5	BLNK	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PAX5	TNFRSF13B	1	0	0	0	0	1	0	0	0	0	0	0	1	0
PAX5	IGHM	1	0	1	0	0	0	0	0	0	0	0	0	0	0
PAX5	CARD11	1	0	0	0	0	1	0	1	0	0	0	0	1	0
IKZF1	MSH6	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IKZF1	BLNK	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IKZF1	TNFSF12	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IKZF1	TNFRSF13B	1	0	0	0	0	1	0	1	0	1	0	0	0	0
IKZF1	IGHM	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IKZF1	CARD11	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IKZF1	PAX5	1	0	0	0	0	1	0	0	0	0	0	0	0	0
CD19	IGKC	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CD19	IGLL1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CD19	AICDA	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CD19	BLNK	0	0	0	1	0	0	0	0	0	0	1	0	0	0
CD19	PIK3R1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
CD19	TNFSF12	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CD19	TNFRSF13B	0	0	0	1	0	0	1	0	0	0	0	0	0	0
CD19	IGHM	1	1	1	1	0	0	0	0	0	0	1	0	0	0
CD19	CARD11	0	0	0	1	0	0	1	0	0	0	0	0	0	0
CD19	PAX5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CD19	IKZF1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
PIK3CD	AICDA	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PIK3CD	PIK3R1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
