Node	Cluster	Color	Origin
IL2RG	5	#6699FFFF	RWR Added
SH2D1A	5	#6699FFFF	Disease Gene
CTLA4	5	#6699FFFF	Disease Gene
IL2RB	5	#6699FFFF	Disease Gene
CD27	5	#6699FFFF	Disease Gene
CARMIL2	5	#6699FFFF	Disease Gene
PDCD1	5	#6699FFFF	Disease Gene
PRF1	5	#6699FFFF	Disease Gene
RASGRP1	5	#6699FFFF	Disease Gene
IKZF1	4	#00FF00FF	Disease Gene
IL10RA	4	#00FF00FF	Disease Gene
IL10	4	#00FF00FF	Disease Gene
IL2RA	4	#00FF00FF	Disease Gene
TLR7	4	#00FF00FF	Disease Gene
ELF4	4	#00FF00FF	Disease Gene
CASP10	4	#00FF00FF	Disease Gene
CASP8	4	#00FF00FF	Disease Gene
IL27RA	4	#00FF00FF	Disease Gene
DEF6	4	#00FF00FF	Disease Gene
RHBDF2	4	#00FF00FF	Disease Gene
UNC93B1	3	#FFCC00FF	Disease Gene
PRKCD	3	#FFCC00FF	Disease Gene
SLC7A7	3	#FFCC00FF	Disease Gene
IL10RB	3	#FFCC00FF	Disease Gene
STXBP2	3	#FFCC00FF	Disease Gene
CTPS1	3	#FFCC00FF	Disease Gene
NBEAL2	3	#FFCC00FF	Disease Gene
UNC13D	3	#FFCC00FF	Disease Gene
FAAP24	2	#FF9900FF	Disease Gene
AP3B1	2	#FF9900FF	Disease Gene
AP3D1	2	#FF9900FF	Disease Gene
LRBA	2	#FF9900FF	Disease Gene
MAGT1	2	#FF9900FF	Disease Gene
ARPC5	2	#FF9900FF	Disease Gene
RHOG	2	#FF9900FF	Disease Gene
PEPD	2	#FF9900FF	Disease Gene
DPP9	2	#FF9900FF	Disease Gene
ITCH	2	#FF9900FF	Disease Gene
TPP2	2	#FF9900FF	Disease Gene
FERMT1	2	#FF9900FF	Disease Gene
CD70	2	#FF9900FF	Disease Gene
PLCG1	2	#FF9900FF	Disease Gene
LYST	2	#FF9900FF	Disease Gene
NFAT5	2	#FF9900FF	Disease Gene
FADD	1	#FF0000FF	Disease Gene
RIPK1	1	#FF0000FF	Disease Gene
XIAP	1	#FF0000FF	Disease Gene
ERN1	1	#FF0000FF	Disease Gene
TRAF3	1	#FF0000FF	Disease Gene
TNFRSF9	1	#FF0000FF	Disease Gene
TNFSF9	1	#FF0000FF	Disease Gene
LACC1	1	#FF0000FF	Disease Gene
TET2	1	#FF0000FF	Disease Gene
SH2B3	1	#FF0000FF	Disease Gene
TGFB1	1	#FF0000FF	Disease Gene
JAK1	1	#FF0000FF	Disease Gene
STAT3	1	#FF0000FF	Disease Gene
CBLB	1	#FF0000FF	Disease Gene
SOCS1	1	#FF0000FF	Disease Gene
AIRE	1	#FF0000FF	Disease Gene
BACH2	1	#FF0000FF	Disease Gene
FOXP3	1	#FF0000FF	Disease Gene
CD274	1	#FF0000FF	Disease Gene
RAB27A	1	#FF0000FF	Disease Gene
GIMAP5	1	#FF0000FF	Disease Gene
STX11	1	#FF0000FF	Disease Gene
GIMAP6	1	#FF0000FF	Disease Gene
DOCK11	1	#FF0000FF	Disease Gene
NFATC2	1	#FF0000FF	Disease Gene
