V1	V2	coex_ATA.tsv	ppi.tsv	coex_KDN.tsv	coex_BRO.tsv	coex_THY.tsv	coex_ITI.tsv	HP.tsv	coex_ATC.tsv	coex_SMU.tsv	coex_CLT.tsv	coex_LVR.tsv	coex_CLS.tsv	coex_core.tsv	reactome_copathway.tsv	coex_STM.tsv	coex_LCL.tsv	coex_BRB.tsv	coex_LNG.tsv	coex_WBL.tsv	coex_PIT.tsv
GIMAP5	CARMIL2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD27	CARMIL2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PDCD1	CARMIL2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCD1	GIMAP5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCD1	CD27	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP3	CARMIL2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP3	GIMAP5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP3	CD27	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FOXP3	PDCD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RA	CARMIL2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RA	CD27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RA	PDCD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RA	FOXP3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
TNFRSF9	TNFSF9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTLA4	CARMIL2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTLA4	GIMAP5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTLA4	CD27	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTLA4	PDCD1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CTLA4	FOXP3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTLA4	IL2RA	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRE	CARMIL2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRE	GIMAP5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRE	CD27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRE	PDCD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRE	FOXP3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRE	CTLA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D1A	CARMIL2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D1A	GIMAP5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D1A	CD27	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D1A	PDCD1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SH2D1A	FOXP3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D1A	CTLA4	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH2D1A	AIRE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD70	GIMAP5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD70	CD27	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD70	TNFSF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CD70	SH2D1A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFATC2	CARMIL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NFATC2	PDCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NFATC2	FOXP3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFATC2	SH2D1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SOCS1	GIMAP5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOCS1	PDCD1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOCS1	FOXP3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOCS1	CTLA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRBA	FOXP3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LRBA	IL2RA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LRBA	CTLA4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRBA	SH2D1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LRBA	NFATC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LACC1	IL2RA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LACC1	CTLA4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PEPD	AP3D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BACH2	GIMAP5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH2	IL2RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BACH2	SH2D1A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACH2	CD70	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITCH	AP3D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ITCH	PEPD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
IL10RB	ITCH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRF1	CARMIL2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
