Node	Cluster	Color	Origin
GFI1	3	#FFCC00FF	Disease Gene
CEBPE	3	#FFCC00FF	Disease Gene
ELANE	3	#FFCC00FF	Disease Gene
FPR1	3	#FFCC00FF	Disease Gene
NCF1	3	#FFCC00FF	Disease Gene
CSF2RA	3	#FFCC00FF	Disease Gene
CSF2RB	3	#FFCC00FF	Disease Gene
CSF3R	3	#FFCC00FF	Disease Gene
CTSC	3	#FFCC00FF	Disease Gene
RAC2	3	#FFCC00FF	Disease Gene
FERMT3	3	#FFCC00FF	Disease Gene
CYBA	3	#FFCC00FF	Disease Gene
NCF4	3	#FFCC00FF	Disease Gene
WAS	3	#FFCC00FF	Disease Gene
ITGB2	3	#FFCC00FF	Disease Gene
CYBB	3	#FFCC00FF	Disease Gene
NCF2	3	#FFCC00FF	Disease Gene
HYOU1	2	#FF9900FF	Disease Gene
SLC35C1	2	#FF9900FF	Disease Gene
SRPRA	2	#FF9900FF	Disease Gene
JAGN1	2	#FF9900FF	Disease Gene
VPS45	2	#FF9900FF	Disease Gene
G6PC3	2	#FF9900FF	Disease Gene
HAX1	2	#FF9900FF	Disease Gene
CLPB	2	#FF9900FF	Disease Gene
LAMTOR2	2	#FF9900FF	Disease Gene
EFL1	2	#FF9900FF	Disease Gene
SRP54	2	#FF9900FF	Disease Gene
SBDS	2	#FF9900FF	Disease Gene
GLOD4	2	#FF9900FF	RWR Added
SRP19	2	#FF9900FF	Disease Gene
TAZ	2	#FF9900FF	Disease Gene
VPS13B	2	#FF9900FF	Disease Gene
DBF4	2	#FF9900FF	Disease Gene
DNAJC21	2	#FF9900FF	Disease Gene
GATA2	1	#FF0000FF	Disease Gene
MRTFA	1	#FF0000FF	Disease Gene
USB1	1	#FF0000FF	Disease Gene
CYBC1	1	#FF0000FF	Disease Gene
SMARCD2	1	#FF0000FF	Disease Gene
G6PD	1	#FF0000FF	Disease Gene
ACTB	1	#FF0000FF	Disease Gene
WDR1	1	#FF0000FF	Disease Gene
CFTR	1	#FF0000FF	Disease Gene
CCR2	1	#FF0000FF	Disease Gene
CXCR2	1	#FF0000FF	Disease Gene
