V1	V2	coex_WBL.tsv	coex_ATA.tsv	coex_KDN.tsv	coex_BRO.tsv	coex_BRB.tsv	ppi.tsv	HP.tsv	coex_LCL.tsv	coex_LVR.tsv	coex_ITI.tsv	coex_ATC.tsv	coex_SPL.tsv	coex_core.tsv	coex_MSG.tsv	reactome_copathway.tsv
ELANE	CYBB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CSF2RA	CYBB	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
SLC35C1	SRPRA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXCR2	CSF2RA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CYBC1	CYBB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CYBC1	CSF2RA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYBC1	MRTFA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CYBC1	SLC35C1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
JAGN1	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
JAGN1	SLC35C1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FPR1	CSF2RA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPR1	SLC35C1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FPR1	CXCR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPR1	CYBC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GFI1	GATA2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GFI1	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GFI1	CSF2RA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CLPB	SRPRA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CLPB	SLC35C1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ITGB2	CYBB	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ITGB2	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ITGB2	CSF2RA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ITGB2	MRTFA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB2	FPR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
G6PD	CXCR2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
G6PD	ITGB2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NCF1	CYBB	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1
NCF1	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NCF1	CSF2RA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCF1	CYBC1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
NCF1	GFI1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCF1	ITGB2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
NCF1	G6PD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRP19	SRPRA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRP19	SLC35C1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FERMT3	CYBB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FERMT3	CSF2RA	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
FERMT3	MRTFA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMT3	SLC35C1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FERMT3	CYBC1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
FERMT3	FPR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FERMT3	GFI1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FERMT3	ITGB2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FERMT3	G6PD	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FERMT3	NCF1	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0
HYOU1	CFTR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HYOU1	SRPRA	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
HYOU1	SLC35C1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
HYOU1	FPR1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HYOU1	CLPB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HAX1	CFTR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HAX1	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HAX1	JAGN1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
G6PC3	SRPRA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
G6PC3	SLC35C1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
G6PC3	G6PD	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EFL1	G6PD	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VPS45	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
VPS45	FERMT3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
VPS45	HAX1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
VPS45	G6PC3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEBPE	ELANE	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
CEBPE	JAGN1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEBPE	GFI1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEBPE	ITGB2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEBPE	NCF1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEBPE	HAX1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CTSC	CYBB	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CTSC	CSF2RA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CTSC	ITGB2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
CTSC	FERMT3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CTSC	G6PC3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RAC2	CFTR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RAC2	CYBB	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
RAC2	CSF2RA	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
RAC2	CYBC1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
RAC2	JAGN1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RAC2	FPR1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
RAC2	GFI1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RAC2	ITGB2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RAC2	G6PD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAC2	NCF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RAC2	FERMT3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RAC2	CTSC	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
SBDS	MRTFA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SBDS	DNAJC21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SBDS	HAX1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
SBDS	EFL1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CCR2	CYBB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CCR2	CSF2RA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CCR2	CYBC1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CCR2	ITGB2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CCR2	NCF1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CCR2	FERMT3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
CCR2	RAC2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CSF3R	CYBB	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CSF3R	ELANE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CSF3R	CSF2RA	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0
CSF3R	CXCR2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CSF3R	CYBC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF3R	FPR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CSF3R	ITGB2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
CSF3R	NCF1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
CSF3R	FERMT3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NCF2	CYBB	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1
NCF2	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NCF2	CSF2RA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NCF2	CXCR2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NCF2	CYBC1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCF2	FPR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NCF2	ITGB2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
NCF2	G6PD	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
NCF2	NCF1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	1
NCF2	FERMT3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
NCF2	CEBPE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NCF2	CTSC	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0
NCF2	RAC2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
NCF2	CCR2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCF2	CSF3R	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LAMTOR2	JAGN1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
LAMTOR2	HAX1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LAMTOR2	G6PC3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
SMARCD2	MRTFA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCD2	JAGN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SMARCD2	ITGB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCD2	G6PD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TAZ	CYBC1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TAZ	SMARCD2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
USB1	CSF2RA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USB1	MRTFA	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
USB1	SRPRA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
USB1	SLC35C1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
USB1	CYBC1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
USB1	FPR1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
USB1	CLPB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
USB1	NCF1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
USB1	CSF3R	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USB1	NCF2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SRP54	SRPRA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRP54	SRP19	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
SRP54	SBDS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CSF2RB	CYBB	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0
CSF2RB	CSF2RA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
CSF2RB	CXCR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF2RB	CYBC1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CSF2RB	FPR1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
CSF2RB	ITGB2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
CSF2RB	NCF1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
CSF2RB	FERMT3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CSF2RB	CTSC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSF2RB	RAC2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CSF2RB	CCR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF2RB	CSF3R	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
CSF2RB	NCF2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
CSF2RB	USB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCF4	CYBB	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1
NCF4	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NCF4	CSF2RA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NCF4	CXCR2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NCF4	CYBC1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
NCF4	FPR1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0
NCF4	GFI1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCF4	ITGB2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
NCF4	NCF1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1
NCF4	FERMT3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NCF4	CTSC	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
NCF4	RAC2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NCF4	CCR2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
NCF4	CSF3R	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NCF4	NCF2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1
NCF4	TAZ	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NCF4	USB1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NCF4	CSF2RB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACTB	CFTR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTB	CYBB	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTB	MRTFA	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ACTB	FPR1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTB	ITGB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTB	G6PD	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACTB	NCF1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTB	FERMT3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACTB	G6PC3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACTB	VPS13B	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTB	RAC2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTB	SBDS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACTB	NCF2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTB	LAMTOR2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACTB	USB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR1	MRTFA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WDR1	ITGB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR1	G6PD	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
WDR1	FERMT3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
WDR1	G6PC3	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
WDR1	EFL1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
WDR1	RAC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR1	SBDS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WDR1	SMARCD2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR1	USB1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WDR1	ACTB	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
CYBA	CYBB	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1
CYBA	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CYBA	CSF2RA	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0
CYBA	CYBC1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
CYBA	FPR1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CYBA	GFI1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CYBA	ITGB2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
CYBA	G6PD	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CYBA	NCF1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1
CYBA	FERMT3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
CYBA	CEBPE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CYBA	CTSC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CYBA	RAC2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CYBA	CSF3R	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CYBA	NCF2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1
CYBA	LAMTOR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYBA	CSF2RB	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
CYBA	NCF4	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1
CYBA	ACTB	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
WAS	CYBB	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
WAS	ELANE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
WAS	CSF2RA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WAS	MRTFA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
WAS	CYBC1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
WAS	FPR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WAS	GFI1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
WAS	ITGB2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WAS	G6PD	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
WAS	NCF1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
WAS	FERMT3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WAS	G6PC3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WAS	CTSC	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
WAS	RAC2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
WAS	CCR2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
WAS	CSF3R	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WAS	NCF2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
WAS	LAMTOR2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WAS	SMARCD2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WAS	CSF2RB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WAS	NCF4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
WAS	CYBA	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
DBF4	CYBC1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DBF4	SRP19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DBF4	FERMT3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DBF4	SBDS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBF4	CSF2RB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DBF4	NCF4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DBF4	CYBA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
