Node	Cluster	Color	Origin
PTPRE	17	#00FFFFFF	RWR Added
LYN	17	#00FFFFFF	RWR Added
TNFRSF1B	17	#00FFFFFF	RWR Added
JAK3	17	#00FFFFFF	RWR Added
CHST11	17	#00FFFFFF	RWR Added
SH3BP2	17	#00FFFFFF	RWR Added
CASP1	17	#00FFFFFF	RWR Added
CASP8	17	#00FFFFFF	RWR Added
RIPK3	17	#00FFFFFF	Disease Gene
PIK3CD	17	#00FFFFFF	RWR Added
TNFSF11	17	#00FFFFFF	Disease Gene
HLA-DRA	12	#FFFF00FF	RWR Added
CD74	12	#FFFF00FF	RWR Added
ARHGAP15	12	#FFFF00FF	RWR Added
APOBEC3G	12	#FFFF00FF	RWR Added
PLXNC1	12	#FFFF00FF	RWR Added
LIMD2	12	#FFFF00FF	RWR Added
RNASET2	12	#FFFF00FF	RWR Added
TRAF3IP3	12	#FFFF00FF	RWR Added
CIITA	12	#FFFF00FF	RWR Added
ANO9	12	#FFFF00FF	RWR Added
STAT4	12	#FFFF00FF	RWR Added
CXCR4	12	#FFFF00FF	Disease Gene
IRF4	12	#FFFF00FF	Disease Gene
TBX21	12	#FFFF00FF	Disease Gene
NFKBID	12	#FFFF00FF	RWR Added
IL12RB2	12	#FFFF00FF	Disease Gene
DOCK2	13	#CCFF00FF	RWR Added
MYO1F	13	#CCFF00FF	RWR Added
WDFY4	13	#CCFF00FF	RWR Added
CD84	13	#CCFF00FF	RWR Added
IKZF1	13	#CCFF00FF	RWR Added
BIN2	13	#CCFF00FF	RWR Added
CYTH4	13	#CCFF00FF	RWR Added
LILRB1	13	#CCFF00FF	RWR Added
LAPTM5	13	#CCFF00FF	RWR Added
LCP1	13	#CCFF00FF	RWR Added
CD300A	13	#CCFF00FF	RWR Added
LAT2	13	#CCFF00FF	RWR Added
CORO1A	13	#CCFF00FF	RWR Added
HCLS1	13	#CCFF00FF	RWR Added
NCKAP1L	13	#CCFF00FF	RWR Added
LGALS9	13	#CCFF00FF	RWR Added
IRF8	13	#CCFF00FF	Disease Gene
SPI1	13	#CCFF00FF	RWR Added
FERMT3	13	#CCFF00FF	RWR Added
ADAP2	13	#CCFF00FF	RWR Added
PARVG	13	#CCFF00FF	RWR Added
CTSS	13	#CCFF00FF	RWR Added
NCF4	13	#CCFF00FF	RWR Added
WAS	13	#CCFF00FF	RWR Added
TFEC	13	#CCFF00FF	RWR Added
BTK	13	#CCFF00FF	RWR Added
IL10RA	13	#CCFF00FF	RWR Added
ITGAM	13	#CCFF00FF	RWR Added
ITGB2	13	#CCFF00FF	RWR Added
SELPLG	13	#CCFF00FF	RWR Added
CD53	13	#CCFF00FF	RWR Added
SASH3	13	#CCFF00FF	RWR Added
PIK3R5	13	#CCFF00FF	RWR Added
HAVCR2	13	#CCFF00FF	RWR Added
ARHGAP30	13	#CCFF00FF	RWR Added
TNFRSF11A	21	#996600FF	Disease Gene
CARD9	21	#996600FF	Disease Gene
NLRC4	21	#996600FF	RWR Added
TLR8	21	#996600FF	Disease Gene
TLR6	21	#996600FF	RWR Added
SIGLEC1	21	#996600FF	RWR Added
P2RY13	21	#996600FF	RWR Added
TLR7	21	#996600FF	Disease Gene
IL18	21	#996600FF	RWR Added
SNX10	21	#996600FF	Disease Gene
SLAMF8	21	#996600FF	RWR Added
IGSF6	21	#996600FF	RWR Added
NCF1	15	#0000CCFF	RWR Added
SNX20	15	#0000CCFF	RWR Added
IL12RB1	15	#0000CCFF	Disease Gene
CXCL16	15	#0000CCFF	RWR Added
C5AR1	15	#0000CCFF	RWR Added
TLR2	15	#0000CCFF	RWR Added
CSF2RB	15	#0000CCFF	RWR Added
CMTM7	15	#0000CCFF	RWR Added
TMEM106A	15	#0000CCFF	RWR Added
IKBKE	15	#0000CCFF	Disease Gene
HMOX1	15	#0000CCFF	Disease Gene
CTSB	15	#0000CCFF	RWR Added
GNA15	15	#0000CCFF	RWR Added
FCER1G	20	#CC99FFFF	RWR Added
HCK	20	#CC99FFFF	RWR Added
SIGLEC9	20	#CC99FFFF	RWR Added
FCGR3A	20	#CC99FFFF	Disease Gene
TLR1	20	#CC99FFFF	RWR Added
CYBB	20	#CC99FFFF	Disease Gene
NCF2	20	#CC99FFFF	RWR Added
OSCAR	20	#CC99FFFF	RWR Added
APOBR	20	#CC99FFFF	RWR Added
MNDA	20	#CC99FFFF	RWR Added
GPR34	20	#CC99FFFF	RWR Added
CCR1	20	#CC99FFFF	RWR Added
NPL	20	#CC99FFFF	RWR Added
C1QA	20	#CC99FFFF	RWR Added
SLCO2B1	20	#CC99FFFF	RWR Added
RAC2	19	#9900CCFF	RWR Added
VAV1	19	#9900CCFF	RWR Added
LCP2	19	#9900CCFF	RWR Added
DOK3	19	#9900CCFF	RWR Added
FYB1	19	#9900CCFF	RWR Added
DOK2	19	#9900CCFF	RWR Added
PTPN6	19	#9900CCFF	RWR Added
SYK	19	#9900CCFF	RWR Added
CSF1R	19	#9900CCFF	RWR Added
PIK3AP1	19	#9900CCFF	RWR Added
PLEK	19	#9900CCFF	RWR Added
CYBA	18	#CCFFFFFF	RWR Added
TRIM14	18	#CCFFFFFF	RWR Added
IRF5	18	#CCFFFFFF	RWR Added
VAMP8	18	#CCFFFFFF	RWR Added
STXBP2	18	#CCFFFFFF	RWR Added
RPS6KA1	18	#CCFFFFFF	RWR Added
RBM47	18	#CCFFFFFF	RWR Added
PSD4	18	#CCFFFFFF	RWR Added
PLCB2	16	#99CCFFFF	RWR Added
PTPRC	16	#99CCFFFF	RWR Added
LY86	16	#99CCFFFF	RWR Added
LST1	16	#99CCFFFF	RWR Added
CLEC7A	16	#99CCFFFF	RWR Added
SLC37A2	16	#99CCFFFF	RWR Added
DOCK8	16	#99CCFFFF	RWR Added
SPN	16	#99CCFFFF	RWR Added
CCR5	16	#99CCFFFF	RWR Added
EVI2A	16	#99CCFFFF	RWR Added
FGD3	16	#99CCFFFF	RWR Added
FMNL1	16	#99CCFFFF	RWR Added
TMC8	16	#99CCFFFF	Disease Gene
ARHGAP9	16	#99CCFFFF	RWR Added
PSTPIP1	16	#99CCFFFF	RWR Added
ARHGAP4	16	#99CCFFFF	RWR Added
ARRB2	16	#99CCFFFF	RWR Added
SH3BP1	16	#99CCFFFF	RWR Added
NRROS	16	#99CCFFFF	RWR Added
CPVL	16	#99CCFFFF	RWR Added
C2	16	#99CCFFFF	RWR Added
C1orf162	16	#99CCFFFF	RWR Added
PYCARD	16	#99CCFFFF	RWR Added
CD4	16	#99CCFFFF	RWR Added
SLC15A3	16	#99CCFFFF	RWR Added
SLC38A7	1	#FF0000FF	RWR Added
RNF135	1	#FF0000FF	RWR Added
CLN6	1	#FF0000FF	RWR Added
IL17RA	1	#FF0000FF	Disease Gene
TCIRG1	1	#FF0000FF	Disease Gene
TMEM63B	1	#FF0000FF	RWR Added
CLCN7	1	#FF0000FF	Disease Gene
IL17RC	1	#FF0000FF	Disease Gene
COQ8B	1	#FF0000FF	RWR Added
GRAMD1A	1	#FF0000FF	RWR Added
TMEM254	1	#FF0000FF	RWR Added
PATZ1	1	#FF0000FF	RWR Added
RNASEL	1	#FF0000FF	Disease Gene
TRAF1	1	#FF0000FF	RWR Added
IRF3	1	#FF0000FF	Disease Gene
PARP10	1	#FF0000FF	RWR Added
OSBPL7	1	#FF0000FF	RWR Added
TRIM66	1	#FF0000FF	RWR Added
NPEPL1	1	#FF0000FF	RWR Added
BBS5	1	#FF0000FF	RWR Added
DHX58	1	#FF0000FF	RWR Added
UBA7	1	#FF0000FF	RWR Added
UBXN11	1	#FF0000FF	RWR Added
UQCRC2	9	#FF00CCFF	RWR Added
ATP5MPL	9	#FF00CCFF	RWR Added
COX4I1	9	#FF00CCFF	RWR Added
UBB	9	#FF00CCFF	RWR Added
RPSA	9	#FF00CCFF	Disease Gene
RPS27A	9	#FF00CCFF	RWR Added
UBA52	9	#FF00CCFF	RWR Added
TYW5	6	#CC33FFFF	RWR Added
RNF25	6	#CC33FFFF	RWR Added
POLR3C	6	#CC33FFFF	Disease Gene
POLR3A	6	#CC33FFFF	Disease Gene
POLR3F	6	#CC33FFFF	Disease Gene
KBTBD6	6	#CC33FFFF	RWR Added
IKBKG	6	#CC33FFFF	RWR Added
DBR1	6	#CC33FFFF	Disease Gene
VHL	6	#CC33FFFF	RWR Added
TBK1	6	#CC33FFFF	Disease Gene
APP	6	#CC33FFFF	RWR Added
CHUK	6	#CC33FFFF	RWR Added
MAPK8	6	#CC33FFFF	Disease Gene
ZNF281	6	#CC33FFFF	RWR Added
JMJD1C	6	#CC33FFFF	RWR Added
PIAS2	6	#CC33FFFF	RWR Added
ADAR	6	#CC33FFFF	RWR Added
RANBP2	6	#CC33FFFF	Disease Gene
PRRC2B	6	#CC33FFFF	RWR Added
