Node	Cluster	Color	Origin
SLC29A3	5	#6699FFFF	Disease Gene
ACP5	5	#6699FFFF	Disease Gene
BTK	5	#6699FFFF	RWR Added
NLRC4	5	#6699FFFF	Disease Gene
PSTPIP1	5	#6699FFFF	Disease Gene
ADA2	5	#6699FFFF	Disease Gene
OAS1	5	#6699FFFF	Disease Gene
SYK	5	#6699FFFF	Disease Gene
HAVCR2	5	#6699FFFF	Disease Gene
HCK	5	#6699FFFF	Disease Gene
LYN	5	#6699FFFF	Disease Gene
PLCG2	5	#6699FFFF	Disease Gene
SH3BP2	5	#6699FFFF	Disease Gene
TNFAIP3	4	#00FF00FF	Disease Gene
CASP1	4	#00FF00FF	RWR Added
NOD2	4	#00FF00FF	Disease Gene
OASL	4	#00FF00FF	RWR Added
TRIM22	4	#00FF00FF	Disease Gene
USP18	4	#00FF00FF	Disease Gene
DNASE1L3	4	#00FF00FF	Disease Gene
CD247	4	#00FF00FF	RWR Added
STAT4	4	#00FF00FF	Disease Gene
TNFRSF1A	4	#00FF00FF	Disease Gene
FAS	4	#00FF00FF	RWR Added
MEFV	4	#00FF00FF	Disease Gene
IL1RN	4	#00FF00FF	Disease Gene
NLRP12	4	#00FF00FF	Disease Gene
NLRP3	4	#00FF00FF	Disease Gene
SHARPIN	3	#FFCC00FF	Disease Gene
OTULIN	3	#FFCC00FF	Disease Gene
RELA	3	#FFCC00FF	Disease Gene
IKBKG	3	#FFCC00FF	Disease Gene
RIPK1	3	#FFCC00FF	Disease Gene
PSMD12	3	#FFCC00FF	Disease Gene
PSMB4	3	#FFCC00FF	Disease Gene
PSMB9	3	#FFCC00FF	Disease Gene
CDC42	3	#FFCC00FF	Disease Gene
ADAM17	3	#FFCC00FF	Disease Gene
TREX1	3	#FFCC00FF	Disease Gene
RNU7-1	3	#FFCC00FF	Disease Gene
TBK1	3	#FFCC00FF	Disease Gene
COPA	3	#FFCC00FF	Disease Gene
SAMHD1	3	#FFCC00FF	Disease Gene
RNASEH2A	2	#FF9900FF	Disease Gene
RNASEH2B	2	#FF9900FF	Disease Gene
RNASEH2C	2	#FF9900FF	Disease Gene
IMPAD1	2	#FF9900FF	RWR Added
LPIN2	2	#FF9900FF	Disease Gene
PPP1R2	2	#FF9900FF	RWR Added
C2orf69	2	#FF9900FF	Disease Gene
MVK	2	#FF9900FF	Disease Gene
CREB3	2	#FF9900FF	RWR Added
PMVK	2	#FF9900FF	Disease Gene
PSMG2	2	#FF9900FF	Disease Gene
ATAD3A	2	#FF9900FF	Disease Gene
POMP	2	#FF9900FF	Disease Gene
IL1R1	1	#FF0000FF	Disease Gene
PSMB10	1	#FF0000FF	Disease Gene
PSMB8	1	#FF0000FF	Disease Gene
IFIH1	1	#FF0000FF	Disease Gene
ALPK1	1	#FF0000FF	Disease Gene
TRIM25	1	#FF0000FF	RWR Added
NLRP1	1	#FF0000FF	Disease Gene
LPIN3	1	#FF0000FF	RWR Added
SRRM2	1	#FF0000FF	RWR Added
STAT2	1	#FF0000FF	Disease Gene
PARP10	1	#FF0000FF	RWR Added
DNASE2	1	#FF0000FF	Disease Gene
MAGEE1	1	#FF0000FF	RWR Added
AP1S3	1	#FF0000FF	Disease Gene
LSM11	1	#FF0000FF	Disease Gene
ALPI	1	#FF0000FF	Disease Gene
CARD14	1	#FF0000FF	Disease Gene
IL36RN	1	#FF0000FF	Disease Gene
