Node	Cluster	Color	Origin
FCN3	3	#FFCC00FF	Disease Gene
C8A	3	#FFCC00FF	Disease Gene
CFB	3	#FFCC00FF	Disease Gene
C8B	3	#FFCC00FF	Disease Gene
C4B	3	#FFCC00FF	RWR Added
C9	3	#FFCC00FF	Disease Gene
SERPINF2	3	#FFCC00FF	RWR Added
F2	3	#FFCC00FF	RWR Added
C1QB	4	#00FF00FF	Disease Gene
C1QC	4	#00FF00FF	Disease Gene
C1QA	4	#00FF00FF	Disease Gene
CFP	4	#00FF00FF	Disease Gene
EBF1	2	#FF9900FF	RWR Added
CFD	2	#FF9900FF	Disease Gene
C6	2	#FF9900FF	Disease Gene
C7	2	#FF9900FF	Disease Gene
C2	2	#FF9900FF	Disease Gene
C3	2	#FF9900FF	Disease Gene
CFI	2	#FF9900FF	Disease Gene
MASP2	2	#FF9900FF	Disease Gene
C1S	2	#FF9900FF	Disease Gene
SERPING1	2	#FF9900FF	Disease Gene
C1R	2	#FF9900FF	Disease Gene
CFH	2	#FF9900FF	Disease Gene
C5	1	#FF0000FF	Disease Gene
C8G	1	#FF0000FF	Disease Gene
CD46	1	#FF0000FF	Disease Gene
CD55	1	#FF0000FF	Disease Gene
CFHR3	1	#FF0000FF	RWR Added
CFHR1	1	#FF0000FF	Disease Gene
PTX3	1	#FF0000FF	RWR Added
UGCG	1	#FF0000FF	RWR Added
CD59	1	#FF0000FF	Disease Gene
CLU	1	#FF0000FF	RWR Added
THBD	1	#FF0000FF	Disease Gene
