V1	V2	ppi.tsv	coex_SKN.tsv	HP.tsv	coex_LVR.tsv	coex_TST.tsv	coex_core.tsv	coex_PIT.tsv	drugs_NedRex.tsv
CFHR3	CFHR1	0	0	0	1	0	0	0	0
C4B	C8G	0	0	0	0	0	0	0	1
CFI	C8G	0	0	0	0	0	0	0	1
CFI	CD59	0	0	0	0	1	0	0	0
CFI	C4B	0	0	1	0	1	0	1	1
CFB	C8G	0	0	0	0	0	0	0	1
CFB	C4B	0	0	1	0	0	0	0	1
CFB	CFP	1	0	0	0	0	0	0	0
CFB	CFI	0	0	1	0	0	0	0	1
C1QC	C8G	0	0	0	0	0	0	0	1
C1QC	C4B	0	0	0	0	0	0	0	1
C1QC	CFI	0	0	1	0	0	0	0	1
C1QC	CFB	0	0	0	0	0	0	0	1
C1QB	C8G	0	0	0	0	0	0	0	1
C1QB	C4B	0	0	0	0	0	0	0	1
C1QB	CFI	0	0	1	0	0	0	0	1
C1QB	CFB	0	0	0	0	0	0	0	1
C1QB	C1QC	1	0	1	0	0	1	0	1
C1QA	CFI	0	0	1	0	0	0	0	0
C1QA	C1QC	1	0	1	0	0	1	0	1
C1QA	C1QB	1	0	1	0	0	1	0	1
CFH	C8G	0	0	0	0	0	0	0	1
CFH	CFHR3	1	0	0	0	0	0	0	0
CFH	C4B	0	0	0	0	0	0	0	1
CFH	CFI	1	0	1	1	0	0	0	1
CFH	CFB	0	0	0	0	0	0	0	1
CFH	C1QC	0	0	1	0	0	0	0	1
CFH	C1QB	0	0	1	0	0	0	0	1
CFH	C1QA	0	0	1	0	0	0	0	0
PTX3	CFP	1	0	0	0	0	0	0	0
PTX3	C1QC	1	0	0	0	0	0	0	0
PTX3	C1QB	1	0	0	0	0	0	0	0
PTX3	C1QA	1	0	0	0	0	0	0	0
PTX3	CFH	1	0	0	0	0	0	0	0
EBF1	CFI	0	1	0	0	0	0	0	0
EBF1	CFH	0	1	0	0	1	0	0	0
CFD	CFI	0	0	1	0	0	0	0	0
CFD	C1QC	0	0	1	1	1	0	0	0
