Node	Cluster	Color	Origin
H2AFX	8	#999999FF	RWR Added
ATM	8	#999999FF	RWR Added
RAD50	8	#999999FF	RWR Added
RNF168	8	#999999FF	RWR Added
TP53BP1	8	#999999FF	RWR Added
MDC1	8	#999999FF	RWR Added
RAD51B	5	#6699FFFF	RWR Added
RAD51D	5	#6699FFFF	RWR Added
XRCC3	5	#6699FFFF	RWR Added
RFC3	5	#6699FFFF	RWR Added
RFC2	5	#6699FFFF	RWR Added
RFC5	5	#6699FFFF	RWR Added
RFC4	5	#6699FFFF	RWR Added
RPA3	5	#6699FFFF	RWR Added
RPA1	5	#6699FFFF	RWR Added
RPA2	5	#6699FFFF	RWR Added
TOPBP1	5	#6699FFFF	RWR Added
BARD1	5	#6699FFFF	RWR Added
NSD2	5	#6699FFFF	RWR Added
MRE11	5	#6699FFFF	RWR Added
TOP3A	5	#6699FFFF	RWR Added
RBBP8	5	#6699FFFF	RWR Added
RTEL1	5	#6699FFFF	Disease Gene
PALB2	5	#6699FFFF	Disease Gene
DNA2	5	#6699FFFF	RWR Added
RAD51C	5	#6699FFFF	Disease Gene
BLM	9	#FF00CCFF	RWR Added
RMI2	9	#FF00CCFF	RWR Added
EXO1	9	#FF00CCFF	RWR Added
BRIP1	9	#FF00CCFF	Disease Gene
CHEK1	9	#FF00CCFF	RWR Added
RAD51	9	#FF00CCFF	Disease Gene
FANCM	9	#FF00CCFF	Disease Gene
RMI1	9	#FF00CCFF	RWR Added
RAD51AP1	9	#FF00CCFF	RWR Added
PARPBP	9	#FF00CCFF	RWR Added
UBE2T	9	#FF00CCFF	Disease Gene
FANCD2	9	#FF00CCFF	Disease Gene
FANCI	9	#FF00CCFF	Disease Gene
BUB1B	6	#CC33FFFF	RWR Added
CENPO	6	#CC33FFFF	RWR Added
ESCO2	6	#CC33FFFF	RWR Added
ZWILCH	6	#CC33FFFF	RWR Added
CENPJ	6	#CC33FFFF	RWR Added
TBC1D31	6	#CC33FFFF	RWR Added
CIP2A	6	#CC33FFFF	RWR Added
FEN1	6	#CC33FFFF	RWR Added
LIG1	6	#CC33FFFF	RWR Added
NCAPD3	6	#CC33FFFF	RWR Added
SMC4	6	#CC33FFFF	RWR Added
MCM8	6	#CC33FFFF	RWR Added
BRCA2	6	#CC33FFFF	Disease Gene
C1orf112	6	#CC33FFFF	RWR Added
BRCA1	6	#CC33FFFF	Disease Gene
GINS4	6	#CC33FFFF	RWR Added
XRCC2	6	#CC33FFFF	Disease Gene
MCM5	2	#FF9900FF	RWR Added
MCM3	2	#FF9900FF	RWR Added
MCM6	2	#FF9900FF	RWR Added
GMNN	2	#FF9900FF	RWR Added
H2AZ1	2	#FF9900FF	RWR Added
CENPW	2	#FF9900FF	RWR Added
NUDT1	2	#FF9900FF	RWR Added
PCNA	2	#FF9900FF	RWR Added
VRK1	2	#FF9900FF	RWR Added
DCLRE1B	2	#FF9900FF	Disease Gene
POLA2	2	#FF9900FF	RWR Added
POLD3	2	#FF9900FF	RWR Added
STMN1	2	#FF9900FF	RWR Added
RBL1	2	#FF9900FF	RWR Added
DNMT1	2	#FF9900FF	RWR Added
MSH2	2	#FF9900FF	RWR Added
POLA1	2	#FF9900FF	RWR Added
RFWD3	2	#FF9900FF	Disease Gene
USB1	3	#FFCC00FF	RWR Added
WRAP53	3	#FFCC00FF	Disease Gene
NHP2	3	#FFCC00FF	RWR Added
NOP10	3	#FFCC00FF	RWR Added
RUVBL1	3	#FFCC00FF	RWR Added
DKC1	3	#FFCC00FF	Disease Gene
PARN	3	#FFCC00FF	Disease Gene
CTC1	3	#FFCC00FF	Disease Gene
TEN1	3	#FFCC00FF	RWR Added
STN1	3	#FFCC00FF	Disease Gene
ACD	3	#FFCC00FF	Disease Gene
TINF2	3	#FFCC00FF	Disease Gene
TERF1	3	#FFCC00FF	RWR Added
POT1	3	#FFCC00FF	RWR Added
TERF2IP	3	#FFCC00FF	RWR Added
GJB6	1	#FF0000FF	RWR Added
KRT14	1	#FF0000FF	RWR Added
SAMD9	1	#FF0000FF	Disease Gene
SAMD9L	1	#FF0000FF	Disease Gene
SLX4	1	#FF0000FF	Disease Gene
TPR	1	#FF0000FF	RWR Added
CTBP1	1	#FF0000FF	RWR Added
MOV10	1	#FF0000FF	RWR Added
RAB22A	1	#FF0000FF	RWR Added
MAD2L2	1	#FF0000FF	Disease Gene
RPS14	1	#FF0000FF	RWR Added
ERCC1	1	#FF0000FF	RWR Added
ERCC4	1	#FF0000FF	Disease Gene
DUT	1	#FF0000FF	Disease Gene
SRP72	1	#FF0000FF	Disease Gene
FANCA	7	#99991EFF	Disease Gene
FANCB	7	#99991EFF	Disease Gene
FANCC	7	#99991EFF	Disease Gene
FANCE	7	#99991EFF	Disease Gene
FANCG	7	#99991EFF	RWR Added
FANCF	7	#99991EFF	Disease Gene
FANCL	7	#99991EFF	Disease Gene
SOX17	4	#00FF00FF	RWR Added
PAX8	4	#00FF00FF	RWR Added
CEBPA	4	#00FF00FF	RWR Added
HOXA11	4	#00FF00FF	RWR Added
MECOM	4	#00FF00FF	Disease Gene
TERC	4	#00FF00FF	Disease Gene
TERT	4	#00FF00FF	Disease Gene
TP53	4	#00FF00FF	Disease Gene
SH2B3	4	#00FF00FF	RWR Added
UBASH3B	4	#00FF00FF	RWR Added
