Node	Cluster	Color	Origin
ACTA1	7	#D1C805	Disease Gene
DES	7	#D1C805	Disease Gene
FLNC	7	#D1C805	Disease Gene
TTN	7	#D1C805	Disease Gene
DNM2	6	#8AD105	Disease Gene
LMNA	6	#8AD105	Disease Gene
RYR1	6	#8AD105	Disease Gene
TCAP	6	#8AD105	Disease Gene
APP	5	#05D14C	RWR Added
BAG3	5	#05D14C	Disease Gene
CAV3	5	#05D14C	Disease Gene
CRYAB	5	#05D14C	Disease Gene
DYSF	5	#05D14C	Disease Gene
FHL1	5	#05D14C	Disease Gene
MYH7	5	#05D14C	Disease Gene
MYOT	5	#05D14C	Disease Gene
NEB	5	#05D14C	Disease Gene
SGCA	5	#05D14C	Disease Gene
TPM3	5	#05D14C	Disease Gene
VCP	5	#05D14C	Disease Gene
ACTN2	4	#05A3D1	Disease Gene
BIN1	4	#05A3D1	Disease Gene
CACNA1S	4	#05A3D1	Disease Gene
CSRP3	4	#05A3D1	Disease Gene
ENO3	4	#05A3D1	Disease Gene
KHDC3L	4	#05A3D1	RWR Added
LDB3	4	#05A3D1	Disease Gene
MYBPC1	4	#05A3D1	Disease Gene
MYOZ2	4	#05A3D1	Disease Gene
SELENON	4	#05A3D1	Disease Gene
SPG11	4	#05A3D1	Disease Gene
SYNE1	4	#05A3D1	Disease Gene
TPM2	4	#05A3D1	Disease Gene
ACTC1	3	#5F05D1	Disease Gene
AFG3L2	3	#5F05D1	Disease Gene
AIFM1	3	#5F05D1	Disease Gene
ALPK3	3	#5F05D1	Disease Gene
ALS2	3	#5F05D1	Disease Gene
ANKRD1	3	#5F05D1	Disease Gene
ATP2A1	3	#5F05D1	Disease Gene
CAPN1	3	#5F05D1	Disease Gene
CASQ1	3	#5F05D1	Disease Gene
CFL2	3	#5F05D1	Disease Gene
COL6A1	3	#5F05D1	Disease Gene
COL6A3	3	#5F05D1	Disease Gene
CYP26C1	3	#5F05D1	RWR Added
CYP2C19	3	#5F05D1	RWR Added
DAG1	3	#5F05D1	Disease Gene
DMD	3	#5F05D1	Disease Gene
DNAJB6	3	#5F05D1	Disease Gene
EGFR	3	#5F05D1	RWR Added
ERLIN2	3	#5F05D1	Disease Gene
FKRP	3	#5F05D1	Disease Gene
GBA2	3	#5F05D1	Disease Gene
GMPPB	3	#5F05D1	Disease Gene
HSPB3	3	#5F05D1	Disease Gene
HSPB8	3	#5F05D1	Disease Gene
KIF5A	3	#5F05D1	Disease Gene
KLHL41	3	#5F05D1	Disease Gene
LAMA2	3	#5F05D1	Disease Gene
MACF1	3	#5F05D1	Disease Gene
MB	3	#5F05D1	Disease Gene
MSTO1	3	#5F05D1	Disease Gene
MUSK	3	#5F05D1	Disease Gene
MYH2	3	#5F05D1	Disease Gene
MYPN	3	#5F05D1	Disease Gene
PLEC	3	#5F05D1	Disease Gene
POLG	3	#5F05D1	Disease Gene
POMK	3	#5F05D1	Disease Gene
PYGM	3	#5F05D1	Disease Gene
PYROXD1	3	#5F05D1	Disease Gene
RAPSN	3	#5F05D1	Disease Gene
REEP1	3	#5F05D1	Disease Gene
SACS	3	#5F05D1	Disease Gene
SCN4A	3	#5F05D1	Disease Gene
SETX	3	#5F05D1	Disease Gene
SGCG	3	#5F05D1	Disease Gene
