V1	V2	coex_THY.tsv	ppi.tsv	coex_TNV.tsv	coex_PRS.tsv	coex_MSG.tsv	coex_HRA.tsv	coex_HRV.tsv	coex_WBL.tsv	coex_ATT.tsv	coex_EMS.tsv	coex_STM.tsv	HP.tsv	coex_SMU.tsv	MP.tsv	coex_VGN.tsv	coex_ITI.tsv	coex_CLT.tsv	coex_core.tsv	coex_PIT.tsv
LMOD2	MIR1-1HG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMOD2	BEST3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG6	MIR1-1HG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG6	BEST3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG6	LMOD2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRL	MIR1-1HG	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRL	LMOD2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SRL	CACNG6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HJV	MIR1-1HG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HJV	BEST3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HJV	LMOD2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HJV	CACNG6	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HJV	SRL	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SMPX	BEST3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMPX	LMOD2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SMPX	CACNG6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMPX	SRL	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SMPX	HJV	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SMPX	PNCK	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
PPP1R27	MIR1-1HG	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PPP1R27	BEST3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R27	LMOD2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R27	CACNG6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R27	SRL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R27	HJV	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHATL	MIR1-1HG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHATL	BEST3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHATL	LMOD2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HHATL	CACNG6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHATL	SRL	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HHATL	HJV	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HHATL	SMPX	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HHATL	PPP1R27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ1	MIR1-1HG	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CASQ1	BEST3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ1	LMOD2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ1	CACNG6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ1	SRL	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CASQ1	HJV	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ1	SMPX	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
