Node	Cluster	Color	Origin
NEFH	5	#6699FFFF	Disease Gene
PRPH	5	#6699FFFF	Disease Gene
TUBA4A	5	#6699FFFF	Disease Gene
ERBB4	5	#6699FFFF	Disease Gene
MAPT	5	#6699FFFF	Disease Gene
VCP	4	#00FF00FF	Disease Gene
SQSTM1	4	#00FF00FF	Disease Gene
TBK1	4	#00FF00FF	Disease Gene
ATXN2	4	#00FF00FF	Disease Gene
TARDBP	4	#00FF00FF	Disease Gene
UBQLN2	4	#00FF00FF	Disease Gene
OPTN	4	#00FF00FF	Disease Gene
C9orf72	4	#00FF00FF	Disease Gene
ANG	4	#00FF00FF	Disease Gene
CHCHD10	4	#00FF00FF	Disease Gene
SOD1	4	#00FF00FF	Disease Gene
HNRNPA1	4	#00FF00FF	Disease Gene
FUS	4	#00FF00FF	Disease Gene
MATR3	4	#00FF00FF	Disease Gene
PFN1	4	#00FF00FF	Disease Gene
DCTN1	4	#00FF00FF	Disease Gene
VAPB	4	#00FF00FF	Disease Gene
MYBPC1	1	#FF0000FF	Disease Gene
HSPB3	1	#FF0000FF	Disease Gene
TTN	1	#FF0000FF	Disease Gene
REEP1	1	#FF0000FF	Disease Gene
HSPB1	1	#FF0000FF	Disease Gene
HSPB8	1	#FF0000FF	Disease Gene
PLEKHG5	1	#FF0000FF	Disease Gene
SYT2	1	#FF0000FF	Disease Gene
EMILIN1	1	#FF0000FF	Disease Gene
GLDN	1	#FF0000FF	Disease Gene
VWA1	1	#FF0000FF	Disease Gene
TRPV4	1	#FF0000FF	Disease Gene
CNTNAP1	1	#FF0000FF	Disease Gene
ERBB3	1	#FF0000FF	Disease Gene
ADGRG6	1	#FF0000FF	Disease Gene
KIF26B	1	#FF0000FF	Disease Gene
SLC5A7	1	#FF0000FF	Disease Gene
KIF5A	1	#FF0000FF	Disease Gene
SLC25A46	3	#FFCC00FF	Disease Gene
ALS2	3	#FFCC00FF	Disease Gene
ATP7A	3	#FFCC00FF	Disease Gene
CHMP2B	3	#FFCC00FF	Disease Gene
WARS	3	#FFCC00FF	Disease Gene
AARS	3	#FFCC00FF	Disease Gene
SIGMAR1	3	#FFCC00FF	Disease Gene
DYNC1H1	3	#FFCC00FF	Disease Gene
BICD2	3	#FFCC00FF	Disease Gene
FBXO38	3	#FFCC00FF	Disease Gene
NEK9	3	#FFCC00FF	Disease Gene
GBF1	3	#FFCC00FF	Disease Gene
SPTLC1	3	#FFCC00FF	Disease Gene
RBM7	3	#FFCC00FF	Disease Gene
SETX	3	#FFCC00FF	Disease Gene
UBA1	3	#FFCC00FF	Disease Gene
LAS1L	3	#FFCC00FF	Disease Gene
SPTAN1	3	#FFCC00FF	Disease Gene
NEK1	3	#FFCC00FF	Disease Gene
LRP12	3	#FFCC00FF	Disease Gene
AR	3	#FFCC00FF	Disease Gene
PIP5K1C	3	#FFCC00FF	Disease Gene
MYH14	3	#FFCC00FF	Disease Gene
SMN1	3	#FFCC00FF	Disease Gene
ADCY6	3	#FFCC00FF	Disease Gene
IGHMBP2	3	#FFCC00FF	Disease Gene
DNM2	3	#FFCC00FF	Disease Gene
DNAJB2	3	#FFCC00FF	Disease Gene
BSCL2	3	#FFCC00FF	Disease Gene
LRP10	3	#FFCC00FF	Disease Gene
MCM3AP	3	#FFCC00FF	Disease Gene
FIG4	3	#FFCC00FF	Disease Gene
ASCC1	3	#FFCC00FF	Disease Gene
PRUNE1	3	#FFCC00FF	Disease Gene
VRK1	2	#FF9900FF	Disease Gene
COQ7	2	#FF9900FF	Disease Gene
COX20	2	#FF9900FF	Disease Gene
ANXA11	2	#FF9900FF	Disease Gene
SLC52A2	2	#FF9900FF	Disease Gene
SORD	2	#FF9900FF	Disease Gene
HEXB	2	#FF9900FF	Disease Gene
ASAH1	2	#FF9900FF	Disease Gene
SLC52A3	2	#FF9900FF	Disease Gene
HINT1	2	#FF9900FF	Disease Gene
H2AZ1	2	#FF9900FF	RWR Added
GARS1	2	#FF9900FF	Disease Gene
ZBTB42	2	#FF9900FF	Disease Gene
CAPN1	2	#FF9900FF	Disease Gene
ADPRHL2	2	#FF9900FF	Disease Gene
TRIP4	2	#FF9900FF	Disease Gene
SPG11	2	#FF9900FF	Disease Gene
GLE1	2	#FF9900FF	Disease Gene
EXOSC8	2	#FF9900FF	Disease Gene
EXOSC9	2	#FF9900FF	Disease Gene
EXOSC3	2	#FF9900FF	Disease Gene
