Node	Cluster	Color	Origin
COL6A1	2	#FF9900FF	Disease Gene
COL6A2	2	#FF9900FF	Disease Gene
ANO5	2	#FF9900FF	Disease Gene
POPDC3	2	#FF9900FF	Disease Gene
BVES	2	#FF9900FF	Disease Gene
DTNA	2	#FF9900FF	Disease Gene
DMD	2	#FF9900FF	Disease Gene
TMEM43	2	#FF9900FF	Disease Gene
CACNA1S	2	#FF9900FF	Disease Gene
CAV3	2	#FF9900FF	Disease Gene
DES	2	#FF9900FF	RWR Added
TCAP	2	#FF9900FF	Disease Gene
TTN	2	#FF9900FF	Disease Gene
FHL1	2	#FF9900FF	Disease Gene
FLNC	2	#FF9900FF	RWR Added
SGCA	2	#FF9900FF	Disease Gene
CAPN3	2	#FF9900FF	Disease Gene
MYOT	2	#FF9900FF	RWR Added
COL6A3	2	#FF9900FF	Disease Gene
DYSF	2	#FF9900FF	Disease Gene
SGCB	2	#FF9900FF	Disease Gene
SGCG	2	#FF9900FF	Disease Gene
SGCD	2	#FF9900FF	Disease Gene
POMGNT1	1	#FF0000FF	Disease Gene
FKRP	1	#FF0000FF	Disease Gene
POMK	1	#FF0000FF	Disease Gene
POMT1	1	#FF0000FF	Disease Gene
POMT2	1	#FF0000FF	Disease Gene
LRIF1	1	#FF0000FF	Disease Gene
TRAPPC11	1	#FF0000FF	Disease Gene
FRG1	1	#FF0000FF	RWR Added
GGPS1	1	#FF0000FF	Disease Gene
EMD	1	#FF0000FF	Disease Gene
HNRNPDL	1	#FF0000FF	Disease Gene
TNPO3	1	#FF0000FF	Disease Gene
PYROXD1	1	#FF0000FF	Disease Gene
CCT2	1	#FF0000FF	RWR Added
VCP	1	#FF0000FF	Disease Gene
DPM3	1	#FF0000FF	Disease Gene
HMGCR	1	#FF0000FF	Disease Gene
GMPPB	1	#FF0000FF	Disease Gene
KAT2B	4	#00FF00FF	RWR Added
TRIM32	4	#00FF00FF	Disease Gene
LMNA	4	#00FF00FF	Disease Gene
DUX4	4	#00FF00FF	Disease Gene
SMCHD1	4	#00FF00FF	Disease Gene
DNAJB6	4	#00FF00FF	Disease Gene
CRPPA	4	#00FF00FF	Disease Gene
SCRN1	3	#FFCC00FF	RWR Added
POMGNT2	3	#FFCC00FF	Disease Gene
BOK	3	#FFCC00FF	RWR Added
CAVIN1	3	#FFCC00FF	Disease Gene
SYNE2	3	#FFCC00FF	Disease Gene
LIMS2	3	#FFCC00FF	Disease Gene
SYNE1	3	#FFCC00FF	Disease Gene
TOR1AIP1	3	#FFCC00FF	Disease Gene
PLEC	3	#FFCC00FF	Disease Gene
EGFR	3	#FFCC00FF	RWR Added
POGLUT1	3	#FFCC00FF	Disease Gene
JAG2	3	#FFCC00FF	Disease Gene
SLC26A2	3	#FFCC00FF	RWR Added
LAMA2	3	#FFCC00FF	Disease Gene
DAG1	3	#FFCC00FF	Disease Gene
