Node	Cluster	Color	Origin
APOO	4	#00FF00FF	Disease Gene
DLD	4	#00FF00FF	RWR Added
AIFM1	4	#00FF00FF	Disease Gene
COX6A2	4	#00FF00FF	Disease Gene
ENDOG	4	#00FF00FF	Disease Gene
COQ9	4	#00FF00FF	Disease Gene
NDUFS3	4	#00FF00FF	RWR Added
COQ2	4	#00FF00FF	Disease Gene
COX16	4	#00FF00FF	Disease Gene
COQ6	4	#00FF00FF	Disease Gene
TMEM126B	4	#00FF00FF	Disease Gene
SUCLA2	4	#00FF00FF	Disease Gene
SUCLG1	4	#00FF00FF	Disease Gene
YARS2	4	#00FF00FF	Disease Gene
FASTKD2	4	#00FF00FF	Disease Gene
NSUN3	1	#FF0000FF	Disease Gene
COQ7	1	#FF0000FF	Disease Gene
PUS1	1	#FF0000FF	Disease Gene
MRPS25	1	#FF0000FF	Disease Gene
RRM2B	1	#FF0000FF	Disease Gene
TOP3A	1	#FF0000FF	Disease Gene
TWNK	1	#FF0000FF	Disease Gene
CHCHD10	1	#FF0000FF	Disease Gene
SLC25A26	1	#FF0000FF	Disease Gene
RNASEH1	1	#FF0000FF	Disease Gene
OPA1	1	#FF0000FF	Disease Gene
NR2C2AP	1	#FF0000FF	RWR Added
TIMM10	1	#FF0000FF	RWR Added
TIMM22	1	#FF0000FF	Disease Gene
TMEM65	1	#FF0000FF	Disease Gene
FBXL4	1	#FF0000FF	Disease Gene
PTRH2	1	#FF0000FF	Disease Gene
RNF123	1	#FF0000FF	RWR Added
POLG	1	#FF0000FF	Disease Gene
POLG2	1	#FF0000FF	Disease Gene
COQ4	1	#FF0000FF	Disease Gene
TK2	1	#FF0000FF	Disease Gene
GFER	1	#FF0000FF	Disease Gene
MSTO1	1	#FF0000FF	Disease Gene
KLC1	1	#FF0000FF	RWR Added
SLC25A42	1	#FF0000FF	Disease Gene
ECEL1	6	#CC33FFFF	Disease Gene
TNNI2	6	#CC33FFFF	Disease Gene
TNNT3	6	#CC33FFFF	Disease Gene
MUSK	6	#CC33FFFF	Disease Gene
RAPSN	6	#CC33FFFF	Disease Gene
MYH3	6	#CC33FFFF	Disease Gene
PIEZO2	6	#CC33FFFF	Disease Gene
CYP2C19	7	#99991EFF	RWR Added
CYP26C1	7	#99991EFF	RWR Added
KHDC3L	7	#99991EFF	RWR Added
ACTA1	5	#6699FFFF	RWR Added
RYR1	5	#6699FFFF	Disease Gene
SCN4A	5	#6699FFFF	Disease Gene
DOK7	5	#6699FFFF	Disease Gene
TPM2	5	#6699FFFF	Disease Gene
MYBPC1	5	#6699FFFF	Disease Gene
MYH8	5	#6699FFFF	Disease Gene
TTR	3	#FFCC00FF	Disease Gene
TOR1A	3	#FFCC00FF	Disease Gene
SGCE	3	#FFCC00FF	Disease Gene
SCN9A	3	#FFCC00FF	RWR Added
DGUOK	3	#FFCC00FF	Disease Gene
ITGBL1	3	#FFCC00FF	RWR Added
MEOX2	3	#FFCC00FF	RWR Added
COL25A1	3	#FFCC00FF	Disease Gene
PHOX2A	3	#FFCC00FF	Disease Gene
KIF21A	3	#FFCC00FF	Disease Gene
SLC25A4	3	#FFCC00FF	Disease Gene
MET	3	#FFCC00FF	Disease Gene
MYLPF	3	#FFCC00FF	Disease Gene
APP	3	#FFCC00FF	RWR Added
FDX2	3	#FFCC00FF	Disease Gene
DISC1	3	#FFCC00FF	RWR Added
AGRN	3	#FFCC00FF	Disease Gene
ADAMTS15	3	#FFCC00FF	Disease Gene
TYMP	3	#FFCC00FF	Disease Gene
MGME1	2	#FF9900FF	Disease Gene
DNA2	2	#FF9900FF	Disease Gene
FAM111B	2	#FF9900FF	Disease Gene
NUP88	2	#FF9900FF	Disease Gene
SMPD4	2	#FF9900FF	Disease Gene
LIG3	2	#FF9900FF	Disease Gene
BICD2	2	#FF9900FF	Disease Gene
SYNE1	2	#FF9900FF	Disease Gene
MACF1	2	#FF9900FF	Disease Gene
ASCC1	2	#FF9900FF	Disease Gene
ELP1	2	#FF9900FF	Disease Gene
SMC4	2	#FF9900FF	RWR Added
TUBB3	2	#FF9900FF	Disease Gene
