Node	Cluster	Color	Origin
Baumbach J	1	#8DD3C7	Author
Blumenthal DB	1	#8DD3C7	Author
Loscalzo J	1	#8DD3C7	Author
Adamowicz K	1	#8DD3C7	Author
Hartung M	1	#8DD3C7	Author
Kacprowski T	1	#8DD3C7	Author
Lazareva O	1	#8DD3C7	Author
List M	1	#8DD3C7	Author
Lobentanzer S	1	#8DD3C7	Author
Anastasi E	1	#8DD3C7	Author
Baier S	1	#8DD3C7	Author
Hoffmann M	1	#8DD3C7	Author
Maier A	1	#8DD3C7	Author
Matschinske J	1	#8DD3C7	Author
Pillich RT	1	#8DD3C7	Author
Malod-Dognin N	1	#8DD3C7	Author
Oubounyt M	1	#8DD3C7	Author
Nogales C	1	#8DD3C7	Author
Poschenrieder JM	1	#8DD3C7	Author
Abovsky M	1	#8DD3C7	Author
Bader GD	1	#8DD3C7	Author
Bernett J	1	#8DD3C7	Author
Chen J	1	#8DD3C7	Author
Elkjaer ML	1	#8DD3C7	Author
Garcia-Hernandez C	1	#8DD3C7	Author
Helmy M	1	#8DD3C7	Author
Churas C	1	#8DD3C7	Author
Galindez G	1	#8DD3C7	Author
Jurisica I	1	#8DD3C7	Author
Kotlyar M	1	#8DD3C7	Author
Levi H	1	#8DD3C7	Author
Manz Q	1	#8DD3C7	Author
Guney E	1	#8DD3C7	Author
Guthrie J	1	#8DD3C7	Author
Casas AI	1	#8DD3C7	Author
Mamdouh ZM	1	#8DD3C7	Author
Mee M	1	#8DD3C7	Author
Pratt D	1	#8DD3C7	Author
Sadegh S	1	#8DD3C7	Author
Saez-Rodriguez J	1	#8DD3C7	Author
Sarkar S	1	#8DD3C7	Author
Shaked G	1	#8DD3C7	Author
Shamir R	1	#8DD3C7	Author
Trummer N	1	#8DD3C7	Author
Skelton J	1	#8DD3C7	Author
Wang R	1	#8DD3C7	Author
Turhan U	1	#8DD3C7	Author
Acharya A	1	#8DD3C7	Author
Abreu-Vicente J	1	#8DD3C7	Author
Chen CH	1	#8DD3C7	Author
Bønnelykke K	1	#8DD3C7	Author
Chilin-Fuentes D	1	#8DD3C7	Author
Cho G	1	#8DD3C7	Author
Climente-González H	1	#8DD3C7	Author
Bernardo-Faura M	1	#8DD3C7	Author
Cloward ME	1	#8DD3C7	Author
Di Pierro A	1	#8DD3C7	Author
Chervontseva Z	1	#8DD3C7	Author
Bruderer N	1	#8DD3C7	Author
Aguirre-Plans J	1	#8DD3C7	Author
Delgado-Chaves FM	1	#8DD3C7	Author
Cockell S	1	#8DD3C7	Author
Ellinghaus D	1	#8DD3C7	Author
Frey H	1	#8DD3C7	Author
Fernandez-Fuentes N	1	#8DD3C7	Author
Fritz A	1	#8DD3C7	Author
Flanagan K	1	#8DD3C7	Author
Cokelaer T	1	#8DD3C7	Author
Furth PA	1	#8DD3C7	Author
Grabert G	1	#8DD3C7	Author
Firoozbakht F	1	#8DD3C7	Author
Furlong LI	1	#8DD3C7	Author
Grossi M	1	#8DD3C7	Author
Hackl L	1	#8DD3C7	Author
Hafner L	1	#8DD3C7	Author
Harl MV	1	#8DD3C7	Author
Hennighausen L	1	#8DD3C7	Author
Hoffmann C	1	#8DD3C7	Author
Colton S	1	#8DD3C7	Author
Fisch KM	1	#8DD3C7	Author
Iapichino L	1	#8DD3C7	Author
Gobbi A	1	#8DD3C7	Author
Ester M	1	#8DD3C7	Author
Garrido-Rodriguez M	1	#8DD3C7	Author
Incudini M	1	#8DD3C7	Author
Iorio F	1	#8DD3C7	Author
Canzar S	1	#8DD3C7	Author
Fekete SP	1	#8DD3C7	Author
Haller T	1	#8DD3C7	Author
Jankowski J	1	#8DD3C7	Author
Isaeva OI	1	#8DD3C7	Author
Feng S	1	#8DD3C7	Author
Kriege NM	1	#8DD3C7	Author
Kayser S	1	#8DD3C7	Author
Lee HK	1	#8DD3C7	Author
Krehl N	1	#8DD3C7	Author
Lee SG	1	#8DD3C7	Author
Kersting J	1	#8DD3C7	Author
Kiel C	1	#8DD3C7	Author
Krupke D	1	#8DD3C7	Author
Lesch I	1	#8DD3C7	Author
Kreisberg JF	1	#8DD3C7	Author
Ivanova O	1	#8DD3C7	Author
Lemberger T	1	#8DD3C7	Author
Carnethon MR	1	#8DD3C7	Author
Chan SY	1	#8DD3C7	Author
Loewe RP	1	#8DD3C7	Author
Kronberg J	1	#8DD3C7	Author
Ma Q	1	#8DD3C7	Author
Maron BJ	1	#8DD3C7	Author
Mandarino A	1	#8DD3C7	Author
Nasirigerdeh R	1	#8DD3C7	Author
Melograna F	1	#8DD3C7	Author
Pedersen AG	1	#8DD3C7	Author
Pauling JK	1	#8DD3C7	Author
Pastrello C	1	#8DD3C7	Author
Oliva B	1	#8DD3C7	Author
Picciani M	1	#8DD3C7	Author
Liu S	1	#8DD3C7	Author
Piper Z	1	#8DD3C7	Author
Pichlmair A	1	#8DD3C7	Author
Maron MS	1	#8DD3C7	Author
Möller A	1	#8DD3C7	Author
Rose TD	1	#8DD3C7	Author
Jurman G	1	#8DD3C7	Author
Piñero J	1	#8DD3C7	Author
Khakabimamaghani S	1	#8DD3C7	Author
Larsen SJ	1	#8DD3C7	Author
Puiggros M	1	#8DD3C7	Author
Salgado-Albarrán M	1	#8DD3C7	Author
Scheibling E	1	#8DD3C7	Author
Schulz L	1	#8DD3C7	Author
Schmidt HH	1	#8DD3C7	Author
Sirci F	1	#8DD3C7	Author
Späth J	1	#8DD3C7	Author
Schwartz L	1	#8DD3C7	Author
Spindler L	1	#8DD3C7	Author
Tsoy O	1	#8DD3C7	Author
Rowin EJ	1	#8DD3C7	Author
Van Steen K	1	#8DD3C7	Author
Stukalov A	1	#8DD3C7	Author
Wenke N	1	#8DD3C7	Author
Wienbrandt L	1	#8DD3C7	Author
Wilhelm M	1	#8DD3C7	Author
Schaffer LV	1	#8DD3C7	Author
Wenke NK	1	#8DD3C7	Author
Savchik A	1	#8DD3C7	Author
Wang RS	1	#8DD3C7	Author
Zolotareva O	1	#8DD3C7	Author
Wipat A	1	#8DD3C7	Author
Wright SN	1	#8DD3C7	Author
Yuan K	1	#8DD3C7	Author
Sanz F	1	#8DD3C7	Author
Wang C	1	#8DD3C7	Author
Wissenberg P	1	#8DD3C7	Author
Zirngibl K	1	#8DD3C7	Author
Barabási AL	2	#FFFFB3	Author
Cheng F	2	#FFFFB3	Author
Handy DE	2	#FFFFB3	Author
Eng C	2	#FFFFB3	Author
Cho K	2	#FFFFB3	Author
Fang J	2	#FFFFB3	Author
Hill DE	2	#FFFFB3	Author
Hou Y	2	#FFFFB3	Author
Huang J	2	#FFFFB3	Author
Lu W	2	#FFFFB3	Author
Assimes TL	2	#FFFFB3	Author
Begoli E	2	#FFFFB3	Author
Antman EM	2	#FFFFB3	Author
Castrillon JA	2	#FFFFB3	Author
Casas JP	2	#FFFFB3	Author
Chang KM	2	#FFFFB3	Author
Both C	2	#FFFFB3	Author
Damrauer SM	2	#FFFFB3	Author
Djousse L	2	#FFFFB3	Author
Costa L	2	#FFFFB3	Author
Cooper DN	2	#FFFFB3	Author
do Valle IF	2	#FFFFB3	Author
Ferolito B	2	#FFFFB3	Author
Do Valle Í	2	#FFFFB3	Author
Gagnon DR	2	#FFFFB3	Author
Gaziano JM	2	#FFFFB3	Author
Graff M	2	#FFFFB3	Author
Desai RJ	2	#FFFFB3	Author
Fan C	2	#FFFFB3	Author
Hao T	2	#FFFFB3	Author
Haiman CA	2	#FFFFB3	Author
Ho YL	2	#FFFFB3	Author
Huang RDL	2	#FFFFB3	Author
