V1	V2	2005_2014.tsv	2015_2017.tsv	2018_2020.tsv	2021.tsv	2022.tsv	2023.tsv	2024_2025.tsv
Yu H	Zitnik M	0	0	0	0	0	0	1
Zheng B	Zheng JJ	0	0	0	0	0	0	1
Zhang JF	Zheng JJ	0	0	0	0	0	0	1
Zhang JF	Zheng B	0	0	0	0	0	0	1
Zhang J	Zheng JJ	0	0	0	0	0	0	1
Zhang J	Zheng B	0	0	0	0	0	0	1
Zhang J	Zhang JF	0	0	0	0	0	0	1
Xiong L	Zheng JJ	0	0	0	0	0	0	1
Xiong L	Zheng B	0	0	0	0	0	0	1
Xiong L	Zhang JF	0	0	0	0	0	0	1
Xiong L	Zhang J	0	0	0	0	0	0	1
Ye W	Zeng Y	0	0	0	0	0	0	1
Sardari S	Zareian S	0	0	0	0	0	0	1
Yoon BJ	Yu H	0	0	0	0	0	0	1
Yoon BJ	Zitnik M	0	0	0	0	0	0	1
Walliman D	Young HP	0	0	0	0	0	0	1
Yang XH	Yu H	0	0	0	0	0	0	1
Yang XH	Yoon BJ	0	0	0	0	0	0	1
Yang XH	Zitnik M	0	0	0	0	0	0	1
So HC	Yin L	0	0	0	0	0	0	1
Yang H	Zeng Y	0	0	0	0	0	0	1
Yang H	Ye W	0	0	0	0	0	0	1
Wells A	Yu H	0	0	0	0	0	0	1
Wells A	Yoon BJ	0	0	0	0	0	0	1
Wells A	Yang XH	0	0	0	0	0	0	1
Wells A	Zitnik M	0	0	0	0	0	0	1
Valdimarsdóttir UA	Zeng Y	0	0	0	0	0	0	1
Valdimarsdóttir UA	Ye W	0	0	0	0	0	0	1
Valdimarsdóttir UA	Yang H	0	0	0	0	0	0	1
Liu R	Zheng JJ	0	0	0	0	0	0	1
Liu R	Zheng B	0	0	0	0	0	0	1
Liu R	Zhang JF	0	0	0	0	0	0	1
Liu R	Zhang J	0	0	0	0	0	0	1
Liu R	Xiong L	0	0	0	0	0	0	1
Schaffer LV	Wright SN	0	0	0	0	0	0	1
Wilhelm M	Wissenberg P	0	0	0	0	0	0	1
Wienbrandt L	Wissenberg P	0	0	0	0	0	0	1
Wienbrandt L	Wilhelm M	0	0	0	0	0	0	1
Wenke N	Wissenberg P	0	0	0	0	0	0	1
Wenke N	Wilhelm M	0	0	0	0	0	0	1
Wenke N	Wienbrandt L	0	0	0	0	0	0	1
Waaben J	Westergaard D	0	0	0	0	0	0	1
Van Steen K	Wissenberg P	0	0	0	0	0	0	1
Van Steen K	Wilhelm M	0	0	0	0	0	0	1
Van Steen K	Wienbrandt L	0	0	0	0	0	0	1
Van Steen K	Wenke N	0	0	0	0	0	0	1
Tong H	Yu H	0	0	0	0	0	0	1
Tong H	Yoon BJ	0	0	0	0	0	0	1
Tong H	Yang XH	0	0	0	0	0	0	1
Tong H	Wells A	0	0	0	0	0	0	1
Tong H	Zitnik M	0	0	0	0	0	0	1
Walzer M	Wang S	0	0	0	0	0	0	1
Vaid A	Zitnik M	0	0	0	0	0	0	1
Vaid A	Wang Q	0	0	0	0	0	0	1
Vizcaíno JA	Walzer M	0	0	0	0	0	0	1
Vizcaíno JA	Wang S	0	0	0	0	0	0	1
Schulz WL	Young HP	0	0	0	0	0	0	1
Schulz WL	Walliman D	0	0	0	0	0	0	1
Reguant R	Westergaard D	0	0	0	0	0	0	1
Reguant R	Waaben J	0	0	0	0	0	0	1
Prakash A	Walzer M	0	0	0	0	0	0	1
Prakash A	Vizcaíno JA	0	0	0	0	0	0	1
Prakash A	Wang S	0	0	0	0	0	0	1
Sacco F	Venafra V	0	0	0	0	0	0	1
Tsoy O	Wissenberg P	0	0	0	0	0	0	1
Tsoy O	Wilhelm M	0	0	0	0	0	0	1
Tsoy O	Wienbrandt L	0	0	0	0	0	0	1
Tsoy O	Wenke N	0	0	0	0	0	0	1
Tsoy O	Van Steen K	0	0	0	0	0	0	1
Tsoy O	Wang RS	0	0	0	0	0	0	1
Tournev I	Valencia A	0	0	0	0	0	0	1
Suo C	Zeng Y	0	0	0	0	0	0	1
Suo C	Ye W	0	0	0	0	0	0	1
Suo C	Yang H	0	0	0	0	0	0	1
Suo C	Valdimarsdóttir UA	0	0	0	0	0	0	1
Nadkarni GN	Vaid A	0	0	0	0	0	0	1
Nadkarni GN	Zitnik M	0	0	0	0	0	0	1
Nadkarni GN	Wang Q	0	0	0	0	0	0	1
Spindler L	Tsoy O	0	0	0	0	0	0	1
Spindler L	Wang RS	0	0	0	0	0	0	1
Schwartz L	Wissenberg P	0	0	0	0	0	0	1
Schwartz L	Wilhelm M	0	0	0	0	0	0	1
Schwartz L	Wienbrandt L	0	0	0	0	0	0	1
Schwartz L	Wenke N	0	0	0	0	0	0	1
Schwartz L	Van Steen K	0	0	0	0	0	0	1
Schwartz L	Tsoy O	0	0	0	0	0	0	1
Schwartz L	Trummer N	0	0	0	0	0	0	1
Topf A	Tournev I	0	0	0	0	0	0	1
Topf A	Valencia A	0	0	0	0	0	0	1
Thompson R	Tournev I	0	0	0	0	0	0	1
Thompson R	Topf A	0	0	0	0	0	0	1
Thompson R	Valencia A	0	0	0	0	0	0	1
Spendiff S	Tournev I	0	0	0	0	0	0	1
Spendiff S	Topf A	0	0	0	0	0	0	1
Spendiff S	Thompson R	0	0	0	0	0	0	1
Spendiff S	Valencia A	0	0	0	0	0	0	1
Ozisik O	Térézol M	0	0	0	0	0	0	1
Ruocco G	Tartaglia GG	0	0	0	0	0	0	1
Song H	Zeng Y	0	0	0	0	0	0	1
Song H	Ye W	0	0	0	0	0	0	1
Song H	Yang H	0	0	0	0	0	0	1
Song H	Valdimarsdóttir UA	0	0	0	0	0	0	1
Song H	Suo C	0	0	0	0	0	0	1
Cudby J	Strelchuk S	0	0	0	0	0	0	1
Sirci F	Tsoy O	0	0	0	0	0	0	1
Sirci F	Spindler L	0	0	0	0	0	0	1
Sirci F	Wang RS	0	0	0	0	0	0	1
Rigau M	Tournev I	0	0	0	0	0	0	1
Rigau M	Topf A	0	0	0	0	0	0	1
Rigau M	Thompson R	0	0	0	0	0	0	1
Rigau M	Spendiff S	0	0	0	0	0	0	1
Rigau M	Valencia A	0	0	0	0	0	0	1
Shen Q	Zeng Y	0	0	0	0	0	0	1
Shen Q	Ye W	0	0	0	0	0	0	1
Shen Q	Yang H	0	0	0	0	0	0	1
Shen Q	Valdimarsdóttir UA	0	0	0	0	0	0	1
Shen Q	Suo C	0	0	0	0	0	0	1
Shen Q	Song H	0	0	0	0	0	0	1
Singh M	Yu H	0	0	0	0	0	0	1
Singh M	Yoon BJ	0	0	0	0	0	0	1
Singh M	Yang XH	0	0	0	0	0	0	1
Singh M	Wells A	0	0	0	0	0	0	1
Singh M	Tong H	0	0	0	0	0	0	1
Singh M	Zitnik M	0	0	0	0	0	0	1
Singh M	Slonim DK	0	0	0	0	0	0	1
Shen Y	Yu H	0	0	0	0	0	0	1
Shen Y	Yoon BJ	0	0	0	0	0	0	1
Shen Y	Yang XH	0	0	0	0	0	0	1
Shen Y	Wells A	0	0	0	0	0	0	1
Shen Y	Tong H	0	0	0	0	0	0	1
Shen Y	Singh M	0	0	0	0	0	0	1
Shen Y	Zitnik M	0	0	0	0	0	0	1
Shen Y	Slonim DK	0	0	0	0	0	0	1
Lipsky P	Shrotri S	0	0	0	0	0	0	1
Sham PC	Yin L	0	0	0	0	0	0	1
Sham PC	So HC	0	0	0	0	0	0	1
Sham PC	Shi Y	0	0	0	0	0	0	1
Qu Y	Zeng Y	0	0	0	0	0	0	1
Qu Y	Ye W	0	0	0	0	0	0	1
Qu Y	Yang H	0	0	0	0	0	0	1
Qu Y	Valdimarsdóttir UA	0	0	0	0	0	0	1
Qu Y	Suo C	0	0	0	0	0	0	1
Qu Y	Song H	0	0	0	0	0	0	1
Qu Y	Shen Q	0	0	0	0	0	0	1
Roy S	Yu H	0	0	0	0	0	0	1
Roy S	Yoon BJ	0	0	0	0	0	0	1
Roy S	Yang XH	0	0	0	0	0	0	1
Roy S	Wells A	0	0	0	0	0	0	1
Roy S	Tong H	0	0	0	0	0	0	1
Roy S	Singh M	0	0	0	0	0	0	1
Roy S	Shen Y	0	0	0	0	0	0	1
Roy S	Zitnik M	0	0	0	0	0	0	1
Roy S	Slonim DK	0	0	0	0	0	0	1
Roy S	Sharan R	0	0	0	0	0	0	1
Saleh A	Shanthamallu US	0	0	0	0	0	0	1
Qiu J	Yin L	0	0	0	0	0	0	1
Qiu J	So HC	0	0	0	0	0	0	1
Qiu J	Sham PC	0	0	0	0	0	0	1
Qiu J	Shi Y	0	0	0	0	0	0	1
Schulz L	Wissenberg P	0	0	0	0	0	0	1
Schulz L	Wilhelm M	0	0	0	0	0	0	1
Schulz L	Wienbrandt L	0	0	0	0	0	0	1
